county_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Autauga County, Alabama","54,773","55,227","54,954","54,727","54,893","54,864","55,243","55,390","55,533","55,869"
".Baldwin County, Alabama","183,112","186,558","190,145","194,885","199,183","202,939","207,601","212,521","217,855","223,234"
".Barbour County, Alabama","27,327","27,341","27,169","26,937","26,755","26,283","25,806","25,157","24,872","24,686"
".Bibb County, Alabama","22,870","22,745","22,667","22,521","22,553","22,566","22,586","22,550","22,367","22,394"
".Blount County, Alabama","57,376","57,560","57,580","57,619","57,526","57,526","57,494","57,787","57,771","57,826"
".Bullock County, Alabama","10,876","10,675","10,606","10,549","10,663","10,400","10,389","10,176","10,174","10,101"
".Butler County, Alabama","20,932","20,866","20,670","20,356","20,327","20,162","20,012","19,888","19,631","19,448"
".Calhoun County, Alabama","118,408","117,744","117,190","116,471","115,917","115,469","114,973","114,710","114,331","113,605"
".Chambers County, Alabama","34,122","34,033","34,104","34,139","33,977","33,996","33,745","33,707","33,600","33,254"
".Cherokee County, Alabama","25,963","25,989","25,958","26,017","25,895","25,732","25,768","25,805","26,014","26,196"
".Chilton County, Alabama","43,653","43,689","43,582","43,628","43,760","43,700","43,866","44,120","44,163","44,428"
".Choctaw County, Alabama","13,849","13,609","13,563","13,397","13,317","13,231","13,045","12,925","12,833","12,589"
".Clarke County, Alabama","25,766","25,587","25,155","25,123","24,864","24,698","24,340","24,063","23,918","23,622"
".Clay County, Alabama","13,898","13,687","13,434","13,404","13,441","13,415","13,393","13,350","13,294","13,235"
".Cleburne County, Alabama","15,004","14,928","14,889","14,976","15,026","14,914","14,848","14,899","15,010","14,910"
".Coffee County, Alabama","50,208","50,444","51,141","50,681","50,657","50,963","51,202","51,853","51,950","52,342"
".Colbert County, Alabama","54,524","54,539","54,570","54,529","54,462","54,417","54,497","54,695","55,004","55,241"
".Conecuh County, Alabama","13,236","13,195","13,046","12,912","12,677","12,678","12,500","12,431","12,292","12,067"
".Coosa County, Alabama","11,780","11,486","11,346","11,254","11,037","10,934","10,819","10,724","10,643","10,663"
".Covington County, Alabama","37,809","38,020","37,805","37,814","37,760","37,556","37,382","37,062","36,953","37,049"
".Crenshaw County, Alabama","13,869","13,894","13,915","13,847","13,851","13,850","13,916","13,858","13,825","13,772"
".Cullman County, Alabama","80,456","80,410","80,279","80,690","81,068","81,761","82,450","82,867","83,418","83,768"
".Dale County, Alabama","50,394","50,122","50,289","49,771","49,414","49,365","49,362","49,342","49,143","49,172"
".Dallas County, Alabama","43,854","43,251","42,789","41,976","41,554","40,936","40,080","39,238","38,294","37,196"
".DeKalb County, Alabama","71,163","71,365","70,944","70,912","70,993","71,087","71,104","71,437","71,407","71,513"
