date,county,state,confirmed_cases
2020-11-24,Autauga,Alabama,01001,2634,39,2352,35,282,4
2020-11-24,Baldwin,Alabama,01003,8269,84,6784,80,1485,4
2020-11-24,Barbour,Alabama,01005,1161,10,781,10,380,0
2020-11-24,Bibb,Alabama,01007,1142,17,1033,13,109,4




2020-11-24,Lincoln,Oklahoma,40081,1225,26,,26,,
2020-11-24,Logan,Oklahoma,40083,1295,3,,3,,
2020-11-24,Love,Oklahoma,40085,538,1,,1,,
2020-11-24,Major,Oklahoma,40093,430,2,,2,,
2020-11-24,Marshall,Oklahoma,40095,673,3,,3,,
2020-11-24,Mayes,Oklahoma,40097,1458,17,,17,,
2020-11-24,McClain,Oklahoma,40087,2247,16,,16,,
2020-11-24,McCurtain,Oklahoma,40089,2212,44,,44,,
2020-11-24,McIntosh,Oklahoma,40091,762,13,,13,,
2020-11-24,Murray,Oklahoma,40099,563,4,,4,,
2020-11-24,Muskogee,Oklahoma,40101,3936,30,,30,,
2020-11-24,Noble,Oklahoma,40103,446,4,,4,,
2020-11-24,Nowata,Oklahoma,40105,381,5,,5,,
2020-11-24,Okfuskee,Oklahoma,40107,911,13,,13,,
2020-11-24,Oklahoma,Oklahoma,40109,36199,281,,281,,
2020-11-24,Okmulgee,Oklahoma,40111,1692,20,,20,,
2020-11-24,Osage,Oklahoma,40113,1859,18,,18,,
2020-11-24,Ottawa,Oklahoma,40115,1638,22,,22,,
2020-11-24,Pawnee,Oklahoma,40117,534,6,,6,,
2020-11-24,Payne,Oklahoma,40119,3967,17,,17,,
2020-11-24,Pittsburg,Oklahoma,40121,1789,21,,21,,
2020-11-24,Pontotoc,Oklahoma,40123,1756,10,,10,,
2020-11-24,Pottawatomie,Oklahoma,40125,3227,23,,23,,
2020-11-24,Pushmataha,Oklahoma,40127,390,6,,6,,
2020-11-24,Roger Mills,Oklahoma,40129,144,5,,5,,
2020-11-24,Rogers,Oklahoma,40131,3758,63,,63,,
2020-11-24,Seminole,Oklahoma,40133,1168,11,,11,,
2020-11-24,Sequoyah,Oklahoma,40135,1731,14,,14,,
2020-11-24,Stephens,Oklahoma,40137,1466,15,,15,,
2020-11-24,Texas,Oklahoma,40139,2245,11,,11,,
2020-11-24,Tillman,Oklahoma,40141,291,5,,5,,
2020-11-24,Tulsa,Oklahoma,40143,30500,257,,257,,
2020-11-24,Unknown,Oklahoma,,65,0,,0,,
2020-11-24,Wagoner,Oklahoma,40145,2593,35,,35,,
2020-11-24,Washington,Oklahoma,40147,1873,44,,44,,
2020-11-24,Washita,Oklahoma,40149,334,2,,2,,
2020-11-24,Woods,Oklahoma,40151,438,1,,1,,
2020-11-24,Woodward,Oklahoma,40153,1728,7,,7,,
2020-11-24,Baker,Oregon,41001,259,3,188,3,71,0
2020-11-24,Benton,Oregon,41003,719,7,661,,58,
2020-11-24,Clackamas,Oregon,41005,5472,78,5465,78,7,
2020-11-24,Clatsop,Oregon,41007,335,0,324,,11,
2020-11-24,Columbia,Oregon,41009,438,3,400,,38,
2020-11-24,Coos,Oregon,41011,390,1,298,,92,
2020-11-24,Crook,Oregon,41013,198,6,157,,41,
2020-11-24,Curry,Oregon,41015,105,2,104,,1,
2020-11-24,Deschutes,Oregon,41017,1955,14,1839,,116,
2020-11-24,Douglas,Oregon,41019,822,15,756,,66,
2020-11-24,Gilliam,Oregon,41021,21,0,20,,1,
2020-11-24,Grant,Oregon,41023,123,1,84,,39,
2020-11-24,Harney,Oregon,41025,87,1,80,,7,
2020-11-24,Hood River,Oregon,41027,366,1,333,,33,
2020-11-24,Jackson,Oregon,41029,3436,23,3270,,166,
2020-11-24,Jefferson,Oregon,41031,773,11,716,,57,
2020-11-24,Josephine,Oregon,41033,443,4,391,,52,
2020-11-24,Klamath,Oregon,41035,685,4,675,,10,
2020-11-24,Lake,Oregon,41037,101,0,80,,21,
2020-11-24,Lane,Oregon,41039,3890,37,3667,,223,
2020-11-24,Lincoln,Oregon,41041,565,13,539,,26,
2020-11-24,Linn,Oregon,41043,1275,18,1170,,105,
2020-11-24,Malheur,Oregon,41045,2319,39,2254,39,65,0
2020-11-24,Marion,Oregon,41047,8436,130,8056,,380,
2020-11-24,Morrow,Oregon,41049,625,7,601,7,24,0
2020-11-24,Multnomah,Oregon,41051,15240,215,15233,215,7,
2020-11-24,Polk,Oregon,41053,1076,15,1004,,72,
2020-11-24,Sherman,Oregon,41055,23,0,20,,3,
2020-11-24,Tillamook,Oregon,41057,112,0,97,,15,
2020-11-24,Umatilla,Oregon,41059,4156,48,3940,48,216,0
2020-11-24,Union,Oregon,41061,717,2,678,2,39,0
2020-11-24,Wallowa,Oregon,41063,70,2,67,,3,
2020-11-24,Wasco,Oregon,41065,479,18,440,,39,
2020-11-24,Washington,Oregon,41067,9038,96,9034,96,4,0
2020-11-24,Wheeler,Oregon,41069,3,0,3,,0,
2020-11-24,Yamhill,Oregon,41071,1582,16,1582,16,0,0
2020-11-24,Adams,Pennsylvania,42001,1774,45,1725,,49,
2020-11-24,Allegheny,Pennsylvania,42003,24083,482,20807,467,3276,15
2020-11-24,Armstrong,Pennsylvania,42005,1536,37,1328,,208,
2020-11-24,Beaver,Pennsylvania,42007,3366,149,3120,,246,
2020-11-24,Bedford,Pennsylvania,42009,1228,15,953,,275,
2020-11-24,Berks,Pennsylvania,42011,12740,452,12362,,378,
2020-11-24,Blair,Pennsylvania,42013,3440,53,3032,,408,
2020-11-24,Bradford,Pennsylvania,42015,1679,30,1509,,170,
