Areaname,land_area
"Gallatin, KY",104.68
"Garrard, KY",233.89
"Grant, KY",260.75
"Graves, KY",556.5
"Grayson, KY",510.86
"Green, KY",288.8
"Greenup, KY",354.53
"Hancock, KY",198.93
"Hardin, KY",629.89
"Harlan, KY",467.98
"Harrison, KY",309.89
"Hart, KY",417.93
"Henderson, KY",467.26
"Henry, KY",291.13
"Hickman, KY",252.95
"Hopkins, KY",554.25
"Jackson, KY",346.59
"Jefferson, KY",398.6
"Jessamine, KY",174.47
"Johnson, KY",263.96
"Kenton, KY",164.97
"Knott, KY",353.03
"Knox, KY",387.72
"Larue, KY",263.74
"Laurel, KY",443.77
"Lawrence, KY",420.16
"Lee, KY",211.23
"Leslie, KY",404.37
"Letcher, KY",339.13
"Lewis, KY",495.73
"Lincoln, KY",336.77
"Livingston, KY",342.22
"Logan, KY",557.13
"Lyon, KY",256.47
"McCracken, KY",268.1
"McCreary, KY",430.67
"McLean, KY",256.19
"Madison, KY",443.14
"Magoffin, KY",309.46
"Marion, KY",346.89
"Marshall, KY",340.33
"Martin, KY",230.83
"Mason, KY",246.62
"Meade, KY",324.24
"Menifee, KY",206.04
"Mercer, KY",253.13
"Metcalfe, KY",290.98
"Monroe, KY",332.13
"Montgomery, KY",198.82
"Morgan, KY",383.76
"Muhlenberg, KY",479.47
"Nelson, KY",424.1
"Nicholas, KY",196.86
"Ohio, KY",596.75
"Oldham, KY",196.56
"Owen, KY",354.18
"Owsley, KY",198.1
"Pendleton, KY",281.37
"Perry, KY",342.64
"Pike, KY",788.89
"Powell, KY",180.21
"Pulaski, KY",677.09
"Robertson, KY",100.11
"Rockcastle, KY",318.08
"Rowan, KY",286.27
"Russell, KY",282.84
"Scott, KY",285.31
"Shelby, KY",385.67
"Simpson, KY",236.21
"Spencer, KY",191.81
"Taylor, KY",277.06
"Todd, KY",377
"Trigg, KY",481.12
"Trimble, KY",156.24
"Union, KY",363.44
"Warren, KY",547.72
"Washington, KY",301.54
"Wayne, KY",484.22
"Webster, KY",335.7
"Whitley, KY",445.17
"Wolfe, KY",222.88
"Woodford, KY",192
LOUISIANA,51843.47
"Acadia, LA",657.65
"Allen, LA",765.72
"Ascension, LA",302.91
"Assumption, LA",364.59
"Avoyelles, LA",865.74
"Beauregard, LA",1166.06
"Bienville, LA",821.83
"Bossier, LA",867.01
"Caddo, LA",937.01
"Calcasieu, LA",1094.42
"Caldwell, LA",540.77
"Cameron, LA",1931.76
"Catahoula, LA",739.5
"Claiborne, LA",767.52
"Concordia, LA",748.74
"De Soto, LA",894.55
"East Baton Rouge, LA",470.59
"East Carroll, LA",442.49
"East Feliciana, LA",455.72
"Evangeline, LA",679.64
"Franklin, LA",635.48
"Grant, LA",664.6
"Iberia, LA",1030.94
"Iberville, LA",652.88
"Jackson, LA",580.38
"Jefferson, LA",642.42
"Jefferson Davis, LA",658.62
"Lafayette, LA",270.32
"Lafourche, LA",1472.3
"La Salle, LA",662.42
"Lincoln, LA",472.3
"Livingston, LA",702.89
"Madison, LA",650.59
"Morehouse, LA",805.26
"Natchitoches, LA",1299.38
"Orleans, LA",350.23
"Ouachita, LA",632.76
"Plaquemines, LA",2428.73
"Pointe Coupee, LA",590.74
"Rapides, LA",1362.04
"Red River, LA",402.1
"Richland, LA",564.55
"Sabine, LA",1011.59
"St. Bernard, LA",1793.84
"St. Charles, LA",410.18
"St. Helena, LA",409.49
"St. James, LA",257.81
"St. John the Baptist, LA",347.86
"St. Landry, LA",938.88
"St. Martin, LA",816.51
"St. Mary, LA",1118.93
"St. Tammany, LA",1124.13
"Tangipahoa, LA",823.19
"Tensas, LA",641.25
"Terrebonne, LA",2080.08
"Union, LA",905.36
"Vermilion, LA",1538.42
"Vernon, LA",1341.61
"Washington, LA",676.01
"Webster, LA",615.13
"West Baton Rouge, LA",203.64
"West Carroll, LA",360.35
"West Feliciana, LA",426.05
"Winn, LA",956.98
MAINE,35387.33
"Androscoggin, ME",497.25
"Aroostook, ME",6829.18
"Cumberland, ME",1217.01
"Franklin, ME",1744.46
"Hancock, ME",2351.18
"Kennebec, ME",951.24
"Knox, ME",1142.07
"Lincoln, ME",699.97
"Oxford, ME",2175.44
"Penobscot, ME",3556.42
"Piscataquis, ME",4377.71
"Sagadahoc, ME",370.29
"Somerset, ME",4095.73
"Waldo, ME",852.81
"Washington, ME",3255.14
"York, ME",1271.44
MARYLAND,12407.45
"Allegany, MD",429.74
"Anne Arundel, MD",587.91
"Baltimore, MD",682.08
"Calvert, MD",345.11
"Caroline, MD",326.07
"Carroll, MD",452.43
"Cecil, MD",417.89
"Charles, MD",643.27
"Dorchester, MD",982.97
"Frederick, MD",667.4
"Garrett, MD",656.08
"Harford, MD",526.74
"Howard, MD",253.56
"Kent, MD",414.32
"Montgomery, MD",506.22
"Prince George's, MD",499.42
"Queen Anne's, MD",509.82
"St. Mary's, MD",764.54
"Somerset, MD",610.81
"Talbot, MD",476.81
"Washington, MD",467.57
"Wicomico, MD",399.81
"Worcester, MD",694.78
"Baltimore city, MD",92.08
MASSACHUSETTS,10554.79
"Barnstable, MA",1305.52
"Berkshire, MA",946.34
"Bristol, MA",691.26
"Dukes, MA",491
"Essex, MA",828.69
"Franklin, MA",724.81
"Hampden, MA",634.17
"Hampshire, MA",545.47
"Middlesex, MA",847.63
"Nantucket, MA",303.28
"Norfolk, MA",443.97
"Plymouth, MA",1093.48
"Suffolk, MA",120.07
"Worcester, MA",1579.11
MICHIGAN,96810.22
"Alcona, MI",1790.56
"Alger, MI",5044.37
"Allegan, MI",1833.51
"Alpena, MI",1695.05
"Antrim, MI",601.94
"Arenac, MI",680.75
"Baraga, MI",1069.12
"Barry, MI",576.93
"Bay, MI",630.98
"Benzie, MI",859.72
"Berrien, MI",1581.47
"Branch, MI",519.52
"Calhoun, MI",718.49
"Cass, MI",508.51
"Charlevoix, MI",1390.87
"Cheboygan, MI",885.26
"Chippewa, MI",2698
"Clare, MI",575.25
"Clinton, MI",574.6
"Crawford, MI",563.41
"Delta, MI",1991.75
"Dickinson, MI",777.2
"Eaton, MI",579.07
"Emmet, MI",882.33
"Genesee, MI",649.37
"Gladwin, MI",516.46
"Gogebic, MI",1476.54
"Grand Traverse, MI",601.17
"Gratiot, MI",571.64
"Hillsdale, MI",607.18
"Houghton, MI",1501.63
"Huron, MI",2137.25
"Ingham, MI",560.98
"Ionia, MI",580.26
"Iosco, MI",1890.72
"Iron, MI",1211.16
"Isabella, MI",577.78
"Jackson, MI",723.82
"Kalamazoo, MI",580.23
"Kalkaska, MI",570.79
"Kent, MI",872.21
"Keweenaw, MI",6060.49
"Lake, MI",574.64
"Lapeer, MI",663.12
"Leelanau, MI",2533.36
"Lenawee, MI",761.38
"Livingston, MI",585.46
"Luce, MI",1911.9
"Mackinac, MI",2100.59
"Macomb, MI",569.81
"Manistee, MI",1280.9
"Marquette, MI",3426.9
"Mason, MI",1241.98
"Mecosta, MI",571.14
"Menominee, MI",1338.13
"Midland, MI",527.92
"Missaukee, MI",573.85
"Monroe, MI",680.1
"Montcalm, MI",721.02
"Montmorency, MI",562.46
"Muskegon, MI",1459.29
"Newaygo, MI",861.45
"Oakland, MI",908.07
"Oceana, MI",1306.83
"Ogemaw, MI",574.67
"Ontonagon, MI",3741.37
"Osceola, MI",573.15
"Oscoda, MI",571.6
"Otsego, MI",526
"Ottawa, MI",1632.12
"Presque Isle, MI",2573.22
"Roscommon, MI",579.86
"Saginaw, MI",815.82
"St. Clair, MI",832.55
"St. Joseph, MI",521.18
"Sanilac, MI",1590.64
"Schoolcraft, MI",1883.79
"Shiawassee, MI",540.78
"Tuscola, MI",913.83
"Van Buren, MI",1090.28
"Washtenaw, MI",722.59
"Wayne, MI",672.26
"Wexford, MI",575.88
MINNESOTA,86942.71
"Aitkin, MN",1995.39
"Anoka, MN",446.28
"Becker, MN",1445.17
"Beltrami, MN",3055.7
"Benton, MN",413.02
"Big Stone, MN",527.92
"Blue Earth, MN",765.93
"Brown, MN",618.62
"Carlton, MN",875.28
"Carver, MN",376.23
"Cass, MN",2414.31
"Chippewa, MN",587.85
"Chisago, MN",442.53
"Clay, MN",1052.78
"Clearwater, MN",1029.85
"Cook, MN",3339.29
"Cottonwood, MN",648.94
"Crow Wing, MN",1156.62
"Dakota, MN",586.36
"Dodge, MN",439.64
"Douglas, MN",719.97
"Faribault, MN",721.64
"Fillmore, MN",862.19
"Freeborn, MN",722.66
"Goodhue, MN",780.47
"Grant, MN",575.21
"Hennepin, MN",606.43
"Houston, MN",568.95
"Hubbard, MN",999.44
"Isanti, MN",451.9
"Itasca, MN",2927.91
"Jackson, MN",719.51
"Kanabec, MN",533.41
"Kandiyohi, MN",862.01
"Kittson, MN",1103.54
"Koochiching, MN",3154.35
"Lac qui Parle, MN",778.09
"Lake, MN",2991.14
"Lake of the Woods, MN",1775.08
"Le Sueur, MN",473.9
"Lincoln, MN",548.47
"Lyon, MN",721.49
"McLeod, MN",505.7
"Mahnomen, MN",583.02
"Marshall, MN",1812.83
"Martin, MN",729.59
"Meeker, MN",645.11
"Mille Lacs, MN",681.8
"Morrison, MN",1153.37
"Mower, MN",711.74
"Murray, MN",719.56
"Nicollet, MN",466.98
"Nobles, MN",722.36
"Norman, MN",876.85
"Olmsted, MN",654.53
"Otter Tail, MN",2225.03
"Pennington, MN",618.36
"Pine, MN",1434.68
"Pipestone, MN",466.17
"Polk, MN",1997.89
"Pope, MN",717.33
"Ramsey, MN",170.16
"Red Lake, MN",432.52
"Redwood, MN",881.28
"Renville, MN",987.27
"Rice, MN",516.14
"Rock, MN",482.86
"Roseau, MN",1678.48
"St. Louis, MN",6860.53
"Scott, MN",368.57
"Sherburne, MN",451
"Sibley, MN",600.39
"Stearns, MN",1389.99
"Steele, MN",432.18
"Stevens, MN",575.27
"Swift, MN",752.39
"Todd, MN",979.39
"Traverse, MN",586
"Wabasha, MN",549.85
"Wadena, MN",543.02
"Waseca, MN",432.82
"Washington, MN",423.19
"Watonwan, MN",439.93
"Wilkin, MN",751.67
"Winona, MN",641.63
"Wright, MN",714.42
"Yellow Medicine, MN",763.42
MISSISSIPPI,48433.59
"Adams, MS",486.28
"Alcorn, MS",401.38
"Amite, MS",731.7
"Attala, MS",737.15
"Benton, MS",408.67
"Bolivar, MS",905.82
"Calhoun, MS",588
"Carroll, MS",634.59
"Chickasaw, MS",504.3
"Choctaw, MS",419.84
"Claiborne, MS",501.44
"Clarke, MS",693.46
"Clay, MS",416.05
"Coahoma, MS",583.18
"Copiah, MS",779.45
"Covington, MS",414.97
"DeSoto, MS",496.82
"Forrest, MS",470.2
"Franklin, MS",566.78
"George, MS",483.65
"Greene, MS",718.73
"Grenada, MS",449.41
"Hancock, MS",552.56
"Harrison, MS",976.18
"Hinds, MS",877.41
"Holmes, MS",764.24
"Humphreys, MS",431.2
"Issaquena, MS",441.4
"Itawamba, MS",540.46
"Jackson, MS",1043.36
"Jasper, MS",677.49
"Jefferson, MS",527.24
"Jefferson Davis, MS",409.14
"Jones, MS",699.79
"Kemper, MS",767.05
"Lafayette, MS",679.33
"Lamar, MS",500.52
"Lauderdale, MS",715.33
"Lawrence, MS",435.76
"Leake, MS",585.43
"Lee, MS",453.17
"Leflore, MS",606.4
"Lincoln, MS",588.22
"Lowndes, MS",516.48
"Madison, MS",742.03
"Marion, MS",548.61
"Marshall, MS",709.86
"Monroe, MS",772.1
"Montgomery, MS",407.9
"Neshoba, MS",571.69
"Newton, MS",579.62
"Noxubee, MS",700.09
"Oktibbeha, MS",461.94
"Panola, MS",705.19
"Pearl River, MS",818.98
"Perry, MS",650.24
"Pike, MS",410.81
"Pontotoc, MS",501.02
"Prentiss, MS",418.28
"Quitman, MS",406.52
"Rankin, MS",806.16
"Scott, MS",610.43
"Sharkey, MS",434.92
"Simpson, MS",590.57
"Smith, MS",637.32
"Stone, MS",448.09
"Sunflower, MS",707.26
"Tallahatchie, MS",652.13
"Tate, MS",410.98
"Tippah, MS",460
"Tishomingo, MS",444.57
"Tunica, MS",480.82
"Union, MS",416.91
"Walthall, MS",404.47
"Warren, MS",618.82
"Washington, MS",761.31
"Wayne, MS",813.54
"Webster, MS",423.38
"Wilkinson, MS",687.71
"Winston, MS",610.15
"Yalobusha, MS",495.03
"Yazoo, MS",934.2
MISSOURI,69708.81
"Adair, MO",569.35
"Andrew, MO",436.53
"Atchison, MO",547.39
"Audrain, MO",696.83
"Barry, MO",790.96
"Barton, MO",596.78
"Bates, MO",851.45
"Benton, MO",752.55
"Bollinger, MO",621.21
"Boone, MO",691.19
"Buchanan, MO",414.6
"Butler, MO",699.01
"Caldwell, MO",429.75
"Callaway, MO",847.26
"Camden, MO",708.9
"Cape Girardeau, MO",586.33
"Carroll, MO",702.35
"Carter, MO",509.06
"Cass, MO",702.73
"Cedar, MO",498.54
"Chariton, MO",768.3
"Christian, MO",564.09
"Clark, MO",511.93
"Clay, MO",409.16
"Clinton, MO",423.5
"Cole, MO",399.11
"Cooper, MO",570.25
"Crawford, MO",743.82
"Dade, MO",506.34
"Dallas, MO",542.87
"Daviess, MO",569.12
"DeKalb, MO",425.8
"Dent, MO",754.56
"Douglas, MO",814.67
"Dunklin, MO",547.14
"Franklin, MO",929.64
"Gasconade, MO",524.53
"Gentry, MO",491.84
"Greene, MO",677.84
"Grundy, MO",438.01
"Harrison, MO",726.5
"Henry, MO",732.61
"Hickory, MO",411.77
"Holt, MO",469.09
"Howard, MO",470.58
"Howell, MO",928.39
"Iron, MO",552.09
"Jackson, MO",616.16
"Jasper, MO",641.37
"Jefferson, MO",664.12
"Johnson, MO",833.09
"Knox, MO",506.8
"Laclede, MO",768.03
"Lafayette, MO",638.9
"Lawrence, MO",613.42
"Lewis, MO",510.88
"Lincoln, MO",640.44
"Linn, MO",621.5
"Livingston, MO",538.51
"McDonald, MO",539.74
"Macon, MO",812.58
"Madison, MO",497.64
"Maries, MO",530.01
"Marion, MO",444.07
"Mercer, MO",455.21
"Miller, MO",599.98
"Mississippi, MO",428.93
"Moniteau, MO",418.87
"Monroe, MO",670.26
"Montgomery, MO",541.97
"Morgan, MO",613.94
"New Madrid, MO",698.07
"Newton, MO",626.72
"Nodaway, MO",877.81
"Oregon, MO",791.65
"Osage, MO",613.44
"Ozark, MO",755.13
"Pemiscot, MO",512.44
"Perry, MO",484.3
"Pettis, MO",686.38
"Phelps, MO",674.32
"Pike, MO",684.84
"Platte, MO",427.26
"Polk, MO",642.51
"Pulaski, MO",551.44
"Putnam, MO",519.7
"Ralls, MO",483.84
"Randolph, MO",487.69
"Ray, MO",573.62
"Reynolds, MO",814.47
"Ripley, MO",631.71
"St. Charles, MO",593.54
"St. Clair, MO",701.95
"Ste. Genevieve, MO",508.96
"St. Francois, MO",452.43
"St. Louis, MO",523.61
"Saline, MO",764.62
"Schuyler, MO",308.18
"Scotland, MO",439.29
"Scott, MO",426.06
"Shannon, MO",1004.05
"Shelby, MO",502.45
"Stoddard, MO",828.99
"Stone, MO",510.95
"Sullivan, MO",651.48
"Taney, MO",651.53
"Texas, MO",1179.33
"Vernon, MO",837.11
"Warren, MO",437.76
"Washington, MO",762.5
"Wayne, MO",774.13
"Webster, MO",593.74
"Worth, MO",266.77
"Wright, MO",683.24
"St. Louis city, MO",66.15
MONTANA,147046.16
"Beaverhead, MT",5572.35
"Big Horn, MT",5014.72
"Blaine, MT",4238.98
"Broadwater, MT",1238.94
"Carbon, MT",2062.26
"Carter, MT",3348.41
"Cascade, MT",2711.74
"Chouteau, MT",3997.13
"Custer, MT",3793.37
"Daniels, MT",1426.57
"Dawson, MT",2383.23
"Deer Lodge, MT",741.27
"Fallon, MT",1623.06
"Fergus, MT",4350.51
"Flathead, MT",5256.6
"Gallatin, MT",2532.73
"Garfield, MT",4847.66
"Glacier, MT",3037.12
"Golden Valley, MT",1176.42
"Granite, MT",1733.17
"Hill, MT",2916.07
"Jefferson, MT",1658.89
"Judith Basin, MT",1870.75
"Lake, MT",1653.75
"Lewis and Clark, MT",3497.63
"Liberty, MT",1447.18
"Lincoln, MT",3675.22
"McCone, MT",2682.84
"Madison, MT",3602.93
"Meagher, MT",2394.87
"Mineral, MT",1223.43
"Missoula, MT",2618.39
"Musselshell, MT",1870.94
"Park, MT",2666.73
"Petroleum, MT",1674.05
"Phillips, MT",5212.22
"Pondera, MT",1639.83
"Powder River, MT",3298.02
"Powell, MT",2332.71
"Prairie, MT",1742.61
"Ravalli, MT",2400.39
"Richland, MT",2103.08
"Roosevelt, MT",2369.7
"Rosebud, MT",5026.96
"Sanders, MT",2790.18
"Sheridan, MT",1706.38
"Silver Bow, MT",718.99
"Stillwater, MT",1804.71
"Sweet Grass, MT",1862.1
"Teton, MT",2292.57
"Toole, MT",1945.82
"Treasure, MT",984.14
"Valley, MT",5062.08
"Wheatland, MT",1428.37
"Wibaux, MT",890.12
"Yellowstone, MT",2649.11
"Yellowstone National Park, MT",246.12
NEBRASKA,77358.4
"Adams, NE",564.19
"Antelope, NE",858.49
"Arthur, NE",718.36
"Banner, NE",746.43
"Blaine, NE",714.39
"Boone, NE",687.3
"Box Butte, NE",1077.92
"Boyd, NE",544.64
"Brown, NE",1225.15
"Buffalo, NE",975.31
"Burt, NE",497.12
"Butler, NE",584.43
"Cass, NE",566.27
"Cedar, NE",745.86
"Chase, NE",897.67
"Cherry, NE",6009.87
"Cheyenne, NE",1196.55
"Clay, NE",573.56
"Colfax, NE",418.61
"Cuming, NE",574.58
"Custer, NE",2576.21
"Dakota, NE",267.41
"Dawes, NE",1400.9
"Dawson, NE",1019.34
"Deuel, NE",440.83
"Dixon, NE",482.75
"Dodge, NE",543.98
"Douglas, NE",339.65
"Dundy, NE",920.84
"Fillmore, NE",576.66
"Franklin, NE",576.13
"Frontier, NE",980.11
"Furnas, NE",720.53
"Gage, NE",859.99
"Garden, NE",1731.15
"Garfield, NE",571.36
"Gosper, NE",462.77
"Grant, NE",783.27
"Greeley, NE",570.74
"Hall, NE",552.25
"Hamilton, NE",546.76
"Harlan, NE",574.2
"Hayes, NE",713.37
"Hitchcock, NE",718.62
"Holt, NE",2417.8
"Hooker, NE",721.54
"Howard, NE",575.77
"Jefferson, NE",575.53
"Johnson, NE",376.84
"Kearney, NE",516.15
"Keith, NE",1109.85
"Keya Paha, NE",774.21
"Kimball, NE",952.38
"Knox, NE",1139.75
"Lancaster, NE",846.73
"Lincoln, NE",2575.27
"Logan, NE",571.18
"Loup, NE",571.06
"McPherson, NE",860.06
"Madison, NE",575.09
"Merrick, NE",494.39
"Morrill, NE",1429.92
"Nance, NE",448.08
"Nemaha, NE",411.91
"Nuckolls, NE",576
"Otoe, NE",619.12
"Pawnee, NE",432.97
"Perkins, NE",884.33
"Phelps, NE",540.62
"Pierce, NE",575.31
"Platte, NE",689.13
"Polk, NE",441.13
"Red Willow, NE",718.1
"Richardson, NE",555.98
"Rock, NE",1011.91
"Saline, NE",576.08
"Sarpy, NE",247.29
"Saunders, NE",758.91
"Scotts Bluff, NE",745.57
"Seward, NE",575.74
"Sheridan, NE",2470.12
"Sherman, NE",571.66
"Sioux, NE",2067.43
"Stanton, NE",431.08
"Thayer, NE",575.36
"Thomas, NE",713.69
"Thurston, NE",396.27
"Valley, NE",570.54
"Washington, NE",393.79
"Wayne, NE",443.52
"Webster, NE",575.04
"Wheeler, NE",575.61
"York, NE",576.04
NEVADA,110566.91
"Churchill, NV",5023.65
"Clark, NV",8091.05
"Douglas, NV",737.67
"Elko, NV",17204.04
"Esmeralda, NV",3589.19
"Eureka, NV",4180.25
"Humboldt, NV",9658.42
"Lander, NV",5519.64
"Lincoln, NV",10637.44
"Lyon, NV",2016.49
"Mineral, NV",3813.17
"Nye, NV",18159.71
"Pershing, NV",6067.89
"Storey, NV",263.81
"Washoe, NV",6551.48
"White Pine, NV",8897.17
"Carson City city, NV",155.85
NEW HAMPSHIRE,9350.93
"Belknap, NH",468.59
"Carroll, NH",992.32
"Cheshire, NH",729.21
"Coos, NH",1831.72
"Grafton, NH",1750.3
"Hillsborough, NH",892.28
"Merrimack, NH",956.56
"Rockingham, NH",794.04
"Strafford, NH",383.95
"Sullivan, NH",551.98
NEW JERSEY,8721.95
"Atlantic, NJ",671.47
"Bergen, NJ",246.82
"Burlington, NJ",819.48
"Camden, NJ",227.59
"Cape May, NJ",620.29
"Cumberland, NJ",676.57
"Essex, NJ",129.59
"Gloucester, NJ",337
"Hudson, NJ",62.26
"Hunterdon, NJ",437.85
"Mercer, NJ",228.87
"Middlesex, NJ",322.65
"Monmouth, NJ",665.34
"Morris, NJ",481.36
"Ocean, NJ",915.9
"Passaic, NJ",197.07
"Salem, NJ",372.54
"Somerset, NJ",305.07
"Sussex, NJ",535.96
"Union, NJ",105.46
"Warren, NJ",362.78
NEW MEXICO,121598.23
"Bernalillo, NM",1168.77
"Catron, NM",6929.49
"Chaves, NM",6075.6
"Cibola, NM",4542.07
"Colfax, NM",3768.29
"Curry, NM",1407.78
"De Baca, NM",2334.02
"Dona Ana, NM",3814.88
"Eddy, NM",4197.8
"Grant, NM",3967.79
"Guadalupe, NM",3031.81
"Harding, NM",2126.1
"Hidalgo, NM",3446.2
"Lea, NM",4394.33
"Lincoln, NM",4831.64
"Los Alamos, NM",109.35
"Luna, NM",2965.5
"McKinley, NM",5455.62
"Mora, NM",1933.6
"Otero, NM",6627.84
"Quay, NM",2881.98
"Rio Arriba, NM",5896.53
"Roosevelt, NM",2455.08
"Sandoval, NM",3714.65
"San Juan, NM",5538.71
"San Miguel, NM",4736
"Santa Fe, NM",1910.95
"Sierra, NM",4236.59
"Socorro, NM",6649.06
"Taos, NM",2204.77
"Torrance, NM",3346.1
"Union, NM",3831
"Valencia, NM",1068.29
NEW YORK,54474.56
"Albany, NY",533.47
"Allegany, NY",1034.48
"Bronx, NY",57.42
"Broome, NY",715.5
"Cattaraugus, NY",1322.33
"Cayuga, NY",778.93
"Chautauqua, NY",1500.19
"Chemung, NY",410.81
"Chenango, NY",898.76
"Clinton, NY",1117.68
"Columbia, NY",648.32
"Cortland, NY",501.55
"Delaware, NY",1468.11
"Dutchess, NY",825.43
"Erie, NY",1226.97
"Essex, NY",1916.62
"Franklin, NY",1697.54
"Fulton, NY",532.94
"Genesee, NY",495.37
"Greene, NY",658.19
"Hamilton, NY",1807.9
"Herkimer, NY",1458.46
"Jefferson, NY",1857.35
"Kings, NY",96.87
"Lewis, NY",1289.99
"Livingston, NY",640.49
"Madison, NY",661.56
"Monroe, NY",1365.95
"Montgomery, NY",410.35
"Nassau, NY",453.32
"New York, NY",33.68
"Niagara, NY",1139.89
"Oneida, NY",1257.16
"Onondaga, NY",805.73
"Ontario, NY",662.46
"Orange, NY",838.58
"Orleans, NY",817.53
"Oswego, NY",1312.22
"Otsego, NY",1015.24
"Putnam, NY",246.27
"Queens, NY",177.35
"Rensselaer, NY",665.46
"Richmond, NY",102.62
"Rockland, NY",199.36
"St. Lawrence, NY",2821.61
"Saratoga, NY",843.78
"Schenectady, NY",209.64
"Schoharie, NY",626.18
"Schuyler, NY",346.16
"Seneca, NY",390.53
"Steuben, NY",1404.17
"Suffolk, NY",2373.39
"Sullivan, NY",996.93
"Tioga, NY",522.94
"Tompkins, NY",491.65
"Ulster, NY",1160.82
"Warren, NY",931.73
"Washington, NY",845.91
"Wayne, NY",1384.18
"Westchester, NY",500.21
"Wyoming, NY",596.48
"Yates, NY",371.85
NORTH CAROLINA,53821.35
"Alamance, NC",434.8
"Alexander, NC",263.29
"Alleghany, NC",235.52
"Anson, NC",537.17
"Ashe, NC",426.81
"Avery, NC",247.22
"Beaufort, NC",958
"Bertie, NC",741.22
"Bladen, NC",887.15
"Brunswick, NC",1050.06
"Buncombe, NC",660.05
"Burke, NC",514.91
"Cabarrus, NC",365.02
"Caldwell, NC",474.32
"Camden, NC",305.72
"Carteret, NC",1351.57
"Caswell, NC",428.47
"Catawba, NC",413.52
"Chatham, NC",709.18
"Cherokee, NC",466.69
"Chowan, NC",233.32
"Clay, NC",220.6
"Cleveland, NC",468.31
"Columbus, NC",953.64
"Craven, NC",761.82
"Cumberland, NC",658.5
"Currituck, NC",525.68
"Dare, NC",1561.59
"Davidson, NC",566.81
"Davie, NC",266.89
"Duplin, NC",819.15
"Durham, NC",298.12
"Edgecombe, NC",506.61
"Forsyth, NC",412.91
"Franklin, NC",494.14
"Gaston, NC",363.85
"Gates, NC",345.63
"Graham, NC",301.61
"Granville, NC",536.6
"Greene, NC",265.91
"Guilford, NC",657.73
"Halifax, NC",730.97
"Harnett, NC",601.3
"Haywood, NC",554.85
"Henderson, NC",374.85
"Hertford, NC",360.83
"Hoke, NC",392.37
"Hyde, NC",1424
"Iredell, NC",593.42
"Jackson, NC",494.36
"Johnston, NC",795.9
"Jones, NC",474.74
"Lee, NC",259.36
"Lenoir, NC",402.11
"Lincoln, NC",307.06
"McDowell, NC",446.43
"Macon, NC",519.44
"Madison, NC",451.61
"Martin, NC",462.9
"Mecklenburg, NC",549.74
"Mitchell, NC",222.15
"Montgomery, NC",501.1
"Moore, NC",706.29
"Nash, NC",542.72
"New Hanover, NC",327.93
"Northampton, NC",550.26
"Onslow, NC",908.46
"Orange, NC",401.15
"Pamlico, NC",566.24
"Pasquotank, NC",289.45
"Pender, NC",932.69
"Perquimans, NC",328.95
"Person, NC",404.1
"Pitt, NC",654.81
"Polk, NC",238.58
"Randolph, NC",789.97
"Richmond, NC",479.64
"Robeson, NC",951.07
"Rockingham, NC",572.35
"Rowan, NC",523.89
"Rutherford, NC",565.98
"Sampson, NC",947.51
"Scotland, NC",320.65
"Stanly, NC",404.3
"Stokes, NC",455.9
"Surry, NC",537.81
"Swain, NC",540.65
"Transylvania, NC",380.57
"Tyrrell, NC",600.32
"Union, NC",639.64
"Vance, NC",269.85
"Wake, NC",857.5
"Warren, NC",443.83
"Washington, NC",424.26
"Watauga, NC",312.76
"Wayne, NC",556.72
"Wilkes, NC",759.96
"Wilson, NC",374.29
"Yadkin, NC",337.53
"Yancey, NC",313.13
NORTH DAKOTA,70703.83
"Adams, ND",988.89
"Barnes, ND",1513.34
"Benson, ND",1439.39
"Billings, ND",1153.47
"Bottineau, ND",1697.83
"Bowman, ND",1167.03
"Burke, ND",1129.33
"Burleigh, ND",1668.12
"Cass, ND",1768
"Cavalier, ND",1510.22
"Dickey, ND",1141.76
"Divide, ND",1294.24
"Dunn, ND",2082.38
"Eddy, ND",644.26
"Emmons, ND",1554.82
"Foster, ND",646.75
"Golden Valley, ND",1002.4
"Grand Forks, ND",1439.91
"Grant, ND",1666.02
"Griggs, ND",716.21
"Hettinger, ND",1133.78
"Kidder, ND",1433.3
"LaMoure, ND",1150.86
"Logan, ND",1011.14
"McHenry, ND",1911.83
"McIntosh, ND",995.12
"McKenzie, ND",2861.05
"McLean, ND",2328.27
"Mercer, ND",1112.49
"Morton, ND",1945.39
"Mountrail, ND",1941.16
"Nelson, ND",1008.8
"Oliver, ND",731.23
"Pembina, ND",1121.78
"Pierce, ND",1082.26
"Ramsey, ND",1300.93
"Ransom, ND",864.18
"Renville, ND",892.11
"Richland, ND",1445.8
"Rolette, ND",939.4
"Sargent, ND",867.15
"Sheridan, ND",1005.83
"Sioux, ND",1128.37
"Slope, ND",1219.27
"Stark, ND",1340.55
"Steele, ND",715.54
"Stutsman, ND",2298.36
"Towner, ND",1041.61
"Traill, ND",862.59
"Walsh, ND",1294.17
"Ward, ND",2056.36
"Wells, ND",1290.7
"Williams, ND",2148.08
OHIO,44827.53
"Adams, OH",585.83
"Allen, OH",406.92
"Ashland, OH",426.86
"Ashtabula, OH",1368.76
"Athens, OH",508.58
"Auglaize, OH",401.74
"Belmont, OH",541.41
"Brown, OH",495.26
"Butler, OH",470.24
"Carroll, OH",399.02
"Champaign, OH",429.74
"Clark, OH",403.83
