Areaname,land_area
"Santa Barbara, CA",3789.56
"Santa Clara, CA",1304.53
"Santa Cruz, CA",607.72
"Shasta, CA",3847.61
"Sierra, CA",962.03
"Siskiyou, CA",6347.81
"Solano, CA",906.85
"Sonoma, CA",1768.35
"Stanislaus, CA",1514.8
"Sutter, CA",608.86
"Tehama, CA",2962.3
"Trinity, CA",3207.79
"Tulare, CA",4839.41
"Tuolumne, CA",2274.52
"Ventura, CA",2208.36
"Yolo, CA",1022.87
"Yuba, CA",643.55
COLORADO,104100.32
"Adams, CO",1197.83
"Alamosa, CO",723.59
"Arapahoe, CO",805.47
"Archuleta, CO",1354.65
"Baca, CO",2557.24
"Bent, CO",1541.25
"Boulder, CO",751.4
"Broomfield, CO",0
"Chaffee, CO",1015.07
"Cheyenne, CO",1781.5
"Clear Creek, CO",396.47
"Conejos, CO",1290.99
"Costilla, CO",1230.55
"Crowley, CO",800.38
"Custer, CO",739.95
"Delta, CO",1148.61
"Denver, CO",154.88
"Dolores, CO",1068.14
"Douglas, CO",842.81
"Eagle, CO",1691.89
"Elbert, CO",1851.01
"El Paso, CO",2129.71
"Fremont, CO",1534.06
"Garfield, CO",2956.08
"Gilpin, CO",150.26
"Grand, CO",1869.7
"Gunnison, CO",3259.94
"Hinsdale, CO",1123.22
"Huerfano, CO",1593.36
"Jackson, CO",1621.05
"Jefferson, CO",778.2
"Kiowa, CO",1785.87
"Kit Carson, CO",2161.71
"Lake, CO",383.93
"La Plata, CO",1700.03
"Larimer, CO",2634
"Las Animas, CO",4775.74
"Lincoln, CO",2586.56
"Logan, CO",1844.96
"Mesa, CO",3341.28
"Mineral, CO",877.82
"Moffat, CO",4751.21
"Montezuma, CO",2040.08
"Montrose, CO",2242.71
"Morgan, CO",1293.97
"Otero, CO",1269.81
"Ouray, CO",542.26
"Park, CO",2210.82
"Phillips, CO",687.78
"Pitkin, CO",973.28
"Prowers, CO",1644.46
"Pueblo, CO",2397.86
"Rio Blanco, CO",3223.1
"Rio Grande, CO",913.13
"Routt, CO",2368.19
"Saguache, CO",3170.46
"San Juan, CO",388.31
"San Miguel, CO",1288.54
"Sedgwick, CO",549.64
"Summit, CO",619.29
"Teller, CO",558.99
"Washington, CO",2524.29
"Weld, CO",4021.76
"Yuma, CO",2369.22
CONNECTICUT,5543.65
"Fairfield, CT",837.01
"Hartford, CT",750.61
"Litchfield, CT",944.63
"Middlesex, CT",439.07
"New Haven, CT",862.06
"New London, CT",771.71
"Tolland, CT",417.03
"Windham, CT",521.51
DELAWARE,2489.38
"Kent, DE",800.14
"New Castle, DE",493.53
"Sussex, DE",1195.7
DISTRICT OF COLUMBIA,68.36
District of Columbia,68.36
FLORIDA,65758.08
"Alachua, FL",969.18
"Baker, FL",588.92
"Bay, FL",1033.35
"Bradford, FL",300.06
"Brevard, FL",1557.25
"Broward, FL",1319.74
"Calhoun, FL",574.38
"Charlotte, FL",859.28
"Citrus, FL",773.24
"Clay, FL",643.73
"Collier, FL",2305.09
"Columbia, FL",801.12
"DeSoto, FL",639.55
"Dixie, FL",863.71
"Duval, FL",918.28
"Escambia, FL",893.94
"Flagler, FL",570.79
"Franklin, FL",1026.45
"Gadsden, FL",528.51
"Gilchrist, FL",355.49
"Glades, FL",986.19
"Gulf, FL",755.78
"Hamilton, FL",519.35
"Hardee, FL",638.38
"Hendry, FL",1189.89
"Hernando, FL",589.12
"Highlands, FL",1106.36
"Hillsborough, FL",1266.36
"Holmes, FL",488.75
"Indian River, FL",616.97
"Jackson, FL",954.67
"Jefferson, FL",636.68
"Lafayette, FL",547.96
"Lake, FL",1156.51
"Lee, FL",1212
"Leon, FL",701.83
"Levy, FL",1412.41
"Liberty, FL",843.22
"Madison, FL",715.89
"Manatee, FL",892.84
"Marion, FL",1663.1
"Martin, FL",752.86
"Miami-Dade, FL",2429.59
"Monroe, FL",3737.42
"Nassau, FL",725.9
"Okaloosa, FL",1082.09
"Okeechobee, FL",891.98
"Orange, FL",1004.31
"Osceola, FL",1506.49
"Palm Beach, FL",2386.53
"Pasco, FL",868.02
"Pinellas, FL",607.75
"Polk, FL",2010.19
"Putnam, FL",827.22
"St. Johns, FL",821.47
"St. Lucie, FL",688.13
"Santa Rosa, FL",1155.31
"Sarasota, FL",725.27
"Seminole, FL",344.9
"Sumter, FL",580.35
"Suwannee, FL",691.94
"Taylor, FL",1232.05
"Union, FL",249.72
"Volusia, FL",1432.51
"Wakulla, FL",735.78
"Walton, FL",1238.13
"Washington, FL",615.84
GEORGIA,59441.22
"Appling, GA",512.15
"Atkinson, GA",344.12
"Bacon, GA",285.94
"Baker, GA",349.19
"Baldwin, GA",267.52
"Banks, GA",233.88
"Barrow, GA",162.85
"Bartow, GA",470.56
"Ben Hill, GA",254.04
"Berrien, GA",457.81
"Bibb, GA",255.17
"Bleckley, GA",219.14
"Brantley, GA",447.44
"Brooks, GA",497.81
"Bryan, GA",454.54
"Bulloch, GA",688.92
"Burke, GA",835.06
"Butts, GA",190.02
"Calhoun, GA",283.59
"Camden, GA",782.52
"Candler, GA",248.85
"Carroll, GA",503.86
"Catoosa, GA",162.67
"Charlton, GA",783.01
"Chatham, GA",646.32
"Chattahoochee, GA",251.19
"Chattooga, GA",313.97
"Cherokee, GA",434.03
"Clarke, GA",121.29
"Clay, GA",217.01
"Clayton, GA",144.29
"Clinch, GA",824.24
"Cobb, GA",344.54
"Coffee, GA",602.67
"Colquitt, GA",556.59
"Columbia, GA",307.8
"Cook, GA",233.24
"Coweta, GA",446.01
"Crawford, GA",326.48
"Crisp, GA",281.21
"Dade, GA",174.1
"Dawson, GA",213.95
"Decatur, GA",623.2
"DeKalb, GA",270.94
"Dodge, GA",503.2
"Dooly, GA",397.15
"Dougherty, GA",334.67
"Douglas, GA",200.27
"Early, GA",516.31
"Echols, GA",420.83
"Effingham, GA",482.89
"Elbert, GA",374.57
"Emanuel, GA",690.4
"Evans, GA",186.9
"Fannin, GA",391.46
"Fayette, GA",199.27
"Floyd, GA",518.5
"Forsyth, GA",247.38
"Franklin, GA",266.38
"Fulton, GA",534.59
"Gilmer, GA",431.85
"Glascock, GA",144.46
"Glynn, GA",583.07
"Gordon, GA",357.63
"Grady, GA",460.37
"Greene, GA",406.28
"Gwinnett, GA",436.74
"Habersham, GA",279.21
"Hall, GA",429.21
"Hancock, GA",478.8
"Haralson, GA",283.19
"Harris, GA",472.97
"Hart, GA",256.43
"Heard, GA",301.11
"Henry, GA",324.49
"Houston, GA",379.87
"Irwin, GA",362.75
"Jackson, GA",343.02
"Jasper, GA",373.6
"Jeff Davis, GA",335.46
"Jefferson, GA",529.6
"Jenkins, GA",352.48
"Johnson, GA",306.54
"Jones, GA",395.41
"Lamar, GA",185.81
"Lanier, GA",199.84
"Laurens, GA",818.56
"Lee, GA",362.03
"Liberty, GA",602.58
"Lincoln, GA",257.31
"Long, GA",403.53
"Lowndes, GA",510.66
"Lumpkin, GA",284.89
"McDuffie, GA",266.32
"McIntosh, GA",574.76
"Macon, GA",405.99
"Madison, GA",285.6
"Marion, GA",367.53
"Meriwether, GA",505.39
"Miller, GA",283.74
"Mitchell, GA",513.84
"Monroe, GA",397.83
"Montgomery, GA",247.34
"Morgan, GA",354.62
"Murray, GA",346.9
"Muscogee, GA",221.02
"Newton, GA",279.21
"Oconee, GA",186.15
"Oglethorpe, GA",442.2
"Paulding, GA",315.09
"Peach, GA",151.47
"Pickens, GA",232.8
"Pierce, GA",343.67
"Pike, GA",219.45
"Polk, GA",312.16
"Pulaski, GA",249.87
"Putnam, GA",360.66
"Quitman, GA",160.93
"Rabun, GA",377.01
"Randolph, GA",430.92
"Richmond, GA",328.5
"Rockdale, GA",132.13
"Schley, GA",167.83
"Screven, GA",655.66
"Seminole, GA",256.58
"Spalding, GA",199.61
"Stephens, GA",184.24
"Stewart, GA",463.26
"Sumter, GA",492.58
"Talbot, GA",394.77
"Taliaferro, GA",195.48
"Tattnall, GA",488.27
"Taylor, GA",379.65
"Telfair, GA",444.12
"Terrell, GA",337.65
"Thomas, GA",552.13
"Tift, GA",268.88
"Toombs, GA",368.67
"Towns, GA",171.87
"Treutlen, GA",202.22
"Troup, GA",445.99
"Turner, GA",289.87
"Twiggs, GA",362.92
"Union, GA",329.19
"Upson, GA",327.67
"Walker, GA",446.74
"Walton, GA",330.07
"Ware, GA",906.62
"Warren, GA",286.76
"Washington, GA",684.43
"Wayne, GA",648.85
"Webster, GA",210.27
"Wheeler, GA",300.16
"White, GA",242.18
"Whitfield, GA",290.68
"Wilcox, GA",383.32
"Wilkes, GA",474.03
"Wilkinson, GA",452.03
"Worth, GA",574.61
HAWAII,10931.58
"Hawaii, HI",5086.97
"Honolulu, HI",2126.98
"Kalawao, HI",52.33
"Kauai, HI",1266.45
"Maui, HI",2398.87
IDAHO,83573.77
"Ada, ID",1060.38
"Adams, ID",1370.11
"Bannock, ID",1147.5
"Bear Lake, ID",1049.49
"Benewah, ID",784.01
"Bingham, ID",2120.34
"Blaine, ID",2661.14
"Boise, ID",1906.81
"Bonner, ID",1919.62
"Bonneville, ID",1900.74
"Boundary, ID",1278.2
"Butte, ID",2233.66
"Camas, ID",1079.06
"Canyon, ID",603.52
"Caribou, ID",1798.73
"Cassia, ID",2580.45
"Clark, ID",1765.28
"Clearwater, ID",2488.26
"Custer, ID",4936.92
"Elmore, ID",3100.69
"Franklin, ID",668.4
"Fremont, ID",1895.67
"Gem, ID",565.77
"Gooding, ID",733.89
"Idaho, ID",8502.78
"Jefferson, ID",1105.62
"Jerome, ID",601.91
"Kootenai, ID",1315.77
"Latah, ID",1076.94
"Lemhi, ID",4569.68
