City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"Lakewood, Colorado",3601,154393,43
"Springfield, Massachusetts",4834,154074,32
"Pasadena, Texas",3586,153351,43
"Sunnyvale, California",6947,152771,22
"Pomona, California",6645,152494,23
"Hollywood, Florida",5553,151998,27
"Kansas City, Kansas",1216,151709,125
"Escondido, California",4119,151613,37
"Clarksville, Tennessee",1540,150287,98
"Joliet, Illinois",2387,148262,62
"Rockford, Illinois",2417,147651,61
"Torrance, California",7187,147195,20
"Naperville, Illinois",3795,147122,39
"Paterson, New Jersey",17438,147000,8
"Savannah, Georgia",1423,146763,103
"Bridgeport, Connecticut",9138,145936,16
"Mesquite, Texas",3123,143736,46
"Killeen, Texas",2676,143400,54
"Syracuse, New York",5726,143378,25
"McAllen, Texas",2942,142212,48
"Pasadena, California",6185,142059,23
"Bellevue, Washington",4423,141400,32
"Fullerton, California",6296,140721,22
"Orange, California",5665,140504,25
"Dayton, Ohio",2525,140489,56
"Miramar, Florida",4690,138449,30
"Thornton, Colorado",3924,136703,35
"West Valley City, Utah",3841,136574,36
"Olathe, Kansas",2271,135473,60
"Hampton, Virginia",2634,135410,51
"Warren, Michigan",3930,135125,34
"Midland, Texas",1868,134610,72
"Waco, Texas",1511,134432,89
"Charleston, South Carolina",1233,134385,109
"Columbia, South Carolina",1016,134309,132
"Denton, Texas",1521,133808,88
"Carrollton, Texas",3674,133351,36
"Surprise, Arizona",1255,132677,106
"Roseville, California",3663,132671,36
"Sterling Heights, Michigan",3628,132427,37
"Murfreesboro, Tennessee",2384,131947,55
"Gainesville, Florida",2147,131591,61
"Cedar Rapids, Iowa",1852,131127,71
"Visalia, California",3616,131074,36
"Coral Springs, Florida",5467,130059,24
"New Haven, Connecticut",6956,129934,19
"Stamford, Connecticut",3430,129113,38
"Thousand Oaks, California",2342,128888,55
"Concord, California",4214,128726,31
"Elizabeth, New Jersey",10442,128640,12
"Lafayette, Louisiana",2592,127626,49
"Kent, Washington",4454,127514,29
"Topeka, Kansas",2107,126808,60
"Simi Valley, California",3045,126327,41
"Santa Clara, California",6841,125948,18
"Athens-Clarke County, Georgia",1060,123371,116
"Hartford, Connecticut",7091,123243,17
"Victorville, California",1671,122265,73
"Abilene, Texas",1145,122225,107
"Norman, Oklahoma",683,122180,179
"Vallejo, California",3955,121299,31
"Berkeley, California",11580,121240,10
"Round Rock, Texas",3544,120892,34
"Ann Arbor, Michigan",4340,120782,28
"Fargo, North Dakota",2474,120762,49
"Columbia, Missouri",1912,120612,63
"Allentown, Pennsylvania",6863,120443,18
"Evansville, Indiana",2706,119477,44
"Beaumont, Texas",1429,118299,83
"Odessa, Texas",2810,117871,42
"Wilmington, North Carolina",2282,117525,51
"Arvada, Colorado",3342,117453,35
"Independence, Missouri",1509,117030,78
"Provo, Utah",2805,116868,42
"Lansing, Michigan",3218,116020,36
"El Monte, California",12114,115807,10
"Springfield, Illinois",1945,115715,59
"Fairfield, California",3069,114756,37
"Clearwater, Florida",4474,114361,26
"Peoria, Illinois",2380,114265,48
"Rochester, Minnesota",2088,114011,55
"Carlsbad, California",3021,113952,38
"Westminster, Colorado",3609,113875,32
"West Jordan, Utah",3503,113699,32
"Pearland, Texas",2415,113570,47
"Richardson, Texas",3969,113347,29
"Downey, California",9127,113267,12
"Miami Gardens, Florida",6202,113058,18
"Temecula, California",3750,113054,30
"Costa Mesa, California",7209,112822,16
"College Station, Texas",2268,112141,49
"Elgin, Illinois",3017,112123,37
"Murrieta, California",3326,111674,34
"Gresham, Oregon",4807,111523,23
"High Point, North Carolina",2067,111223,54
"Antioch, California",3912,110898,28
"Inglewood, California",12200,110654,9
"Cambridge, Massachusetts",17316,110651,6
"Lowell, Massachusetts",8141,110558,14
"Manchester, New Hampshire",3339,110506,33
"Billings, Montana",2541,110323,43
"Pueblo, Colorado",2056,110291,54
"Palm Bay, Florida",1676,110104,66
"Centennial, Colorado",3828,109932,29
"Richmond, California",3652,109813,30
"San Buenaventura, California",5062,109592,22
"Pompano Beach, Florida",4558,109393,24
"North Charleston, South Carolina",1493,109298,73
"Everett, Washington",3260,109043,33
"Waterbury, Connecticut",3796,108272,29
"West Palm Beach, Florida",1956,108161,55
"Boulder, Colorado",4383,108090,25
"West Covina, California",6724,107847,16
"Broken Arrow, Oklahoma",1744,107403,62
"Clovis, California",4578,106583,23
"Daly City, California",13900,106472,8
"Lakeland, Florida",1630,106420,65
"Santa Maria, California",4670,106290,23
"Norwalk, California",10935,106178,10
"Sandy Springs, Georgia",2808,105703,38
"Hillsboro, Oregon",4400,105164,24
"Green Bay, Wisconsin",2312,105139,45
"Tyler, Texas",1946,104798,54
"Wichita Falls, Texas",1452,104724,72
"Lewisville, Texas",2875,104659,36
"Burbank, California",6023,104447,17
"Greeley, Colorado",2234,103990,47
"San Mateo, California",8570,103959,12
"El Cajon, California",7191,103768,14
"Rialto, California",4623,103314,22
"Davenport, Iowa",1630,102612,63
"League City, Texas",1989,102010,51
"Davie, Florida",2920,101871,35
"Las Cruces, New Mexico",1330,101759,76
"South Bend, Indiana",2454,101735,41
"Vista, California",5442,101659,19
"Renton, Washington",4366,100953,23
"San Angelo, Texas",1771,100702,57
"Roanoke, Virginia",2342,99660,43
"Kenosha, Wisconsin",3700,99631,27
"Tuscaloosa, Alabama",1653,99543,60
"Allen, Texas",3772,99179,26
"Erie, Pennsylvania",5167,98593,19
"Sparks, Nevada",2750,98345,36
"Vacaville, California",3465,98303,28
"Albany, New York",4587,98111,21
"Beaverton, Oregon",5210,97590,19
"Compton, California",9745,97550,10
"Orem, Utah",5331,97499,18
"Flint, Michigan",2914,97386,33
"Federal Way, Washington",4347,96757,22
"Mission Viejo, California",5434,96396,18
"Spokane Valley, Washington",2551,96340,38
"Boca Raton, Florida",3277,96114,29
"Lee's Summit, Missouri",1517,96076,63
"Rio Rancho, New Mexico",929,96028,103
"Sandy, Utah",4190,95836,23
"Brockton, Massachusetts",4483,95630,21
"Meridian, Idaho",3569,95623,27
"South Gate, California",13196,95538,7
"Lawrence, Kansas",2841,95358,34
"San Marcos, California",3909,95261,24
"Portsmouth, Virginia",2831,95252,34
"New Bedford, Massachusetts",4752,95032,20
"Yuma, Arizona",789,94906,120
"Lawton, Oklahoma",1168,94653,81
"Roswell, Georgia",2323,94598,41
"Dearborn, Michigan",3899,94444,24
"Livonia, Michigan",2634,94041,36
"Yakima, Washington",3458,93986,27
"Sunrise, Florida",5179,93734,18
"Hesperia, California",1282,93724,73
"Quincy, Massachusetts",5654,93688,17
"Longmont, Colorado",3546,92858,26
"Carson, California",4957,92797,19
"Plantation, Florida",4264,92706,22
"Lynn, Massachusetts",8631,92697,11
"Santa Monica, California",10996,92478,8
"Santa Barbara, California",4722,91930,19
"Miami Beach, Florida",12047,91917,8
"Redding, California",1539,91808,60
"Chico, California",2782,91567,33
"Westminster, California",9111,91565,10
"Greenville, North Carolina",2644,91495,35
"Nampa, Idaho",2930,91382,31
"Edmond, Oklahoma",1077,91191,85
"Bend, Oregon",2760,91122,33
"Carmel, Indiana",1919,91065,47
"San Leandro, California",6781,90465,13
"Fishers, Indiana",2683,90127,34
"Deltona, Florida",2401,90124,38
"Concord, North Carolina",1491,89891,60
"Tracy, California",4058,89274,22
"Suffolk, Virginia",223,89273,400
"Asheville, North Carolina",1984,89121,45
"Livermore, California",3541,89115,25
"Newton, Massachusetts",4991,89045,18
"Fall River, Massachusetts",2684,88930,33
"Menifee, California",1905,88531,46
"Indio, California",3032,88488,29
"Norwalk, Connecticut",3869,88438,23
"Waukegan, Illinois",3725,88182,24
"Sugar Land, Texas",2723,88177,32
"Fort Smith, Arkansas",1422,88133,62
"Hawthorne, California",14479,88031,6
"Nashua, New Hampshire",2849,87882,31
"Chino, California",2961,87776,30
"Kirkland, Washington",8128,87701,11
"Edinburg, Texas",2329,87650,38
"Reading, Pennsylvania",8864,87575,10
"Bellingham, Washington",3234,87574,27
"Citrus Heights, California",6144,87432,14
"Whittier, California",5931,86883,15
"Ogden, Utah",3200,86701,27
"Newport Beach, California",3642,86688,24
"Champaign, Illinois",3863,86637,22
"Duluth, Minnesota",1273,86293,68
"O'Fallon, Missouri",2956,86274,29
"Clifton, New Jersey",7624,85845,11
"Alhambra, California",11202,85474,8
"Bloomington, Minnesota",2460,85319,35
"Palm Coast, Florida",947,85109,90
"Danbury, Connecticut",2029,84992,42
"Hoover, Alabama",1802,84978,47
"Redwood City, California",4374,84950,19
"Bloomington, Indiana",3647,84465,23
"Hemet, California",3026,84281,28
"Mount Pleasant, South Carolina",1867,84170,45
"Trenton, New Jersey",10988,84056,8
"Santa Fe, New Mexico",1824,83875,46
"Johns Creek, Georgia",2729,83873,31
"Fayetteville, Arkansas",1557,83826,54
"Troy, Michigan",2499,83641,33
"Mission, Texas",2458,83563,34
"Bryan, Texas",1875,83260,44
"Lake Forest, California",4671,83240,18
"Buena Park, California",7905,83156,11
"Largo, Florida",4714,83065,18
"Cicero, Illinois",14162,82992,6
"Avondale, Arizona",1818,82881,46
"Sioux City, Iowa",1445,82872,57
"Merced, California",3542,82594,23
"St. George, Utah",1169,82318,70
"Conroe, Texas",1561,82286,53
"Pleasanton, California",3412,82270,24
"Longview, Texas",1473,82055,56
"Medford, Oregon",3173,81636,26
"Warwick, Rhode Island",2328,81579,35
"Westland, Michigan",3993,81545,20
"Somerville, Massachusetts",19738,81322,4
"Melbourne, Florida",2398,81185,34
"Lakewood, California",8623,81138,9
"Farmington Hills, Michigan",2438,81129,33
"Cranston, Rhode Island",2859,81034,28
"Kennewick, Washington",2988,80454,27
"Mountain View, California",6704,80447,12
"Napa, California",4508,80416,18
"Tustin, California",7256,80395,11
"Lynchburg, Virginia",1633,80212,49
"Lawrence, Massachusetts",11574,80209,7
"Deerfield Beach, Florida",5286,79764,15
"Brooklyn Park, Minnesota",3057,79707,26
"New Rochelle, New York",7687,79557,10
"Parma, Ohio",3967,79425,20
"Alameda, California",7437,78906,11
"Chino Hills, California",1764,78822,45
"Springdale, Arkansas",1879,78557,42
"Bloomington, Illinois",2866,78005,27
"Bellflower, California",12711,77790,6
"Racine, Wisconsin",5011,77571,15
"Milpitas, California",5705,77528,14
"Auburn, Washington",2616,77472,30
"Pharr, Texas",3301,77320,23
"Scranton, Pennsylvania",3054,77291,25
"Folsom, California",3520,77271,22
"Goodyear, Arizona",403,77258,191
"Plymouth, Minnesota",2363,77216,33
"Fort Myers, Florida",1931,77146,40
"Hammond, Indiana",3386,77134,23
"Manteca, California",4338,76908,18
"Loveland, Colorado",2289,76897,34
"Lake Charles, Louisiana",1827,76848,42
"Upland, California",4909,76684,16
"St. Joseph, Missouri",1738,76472,44
