City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"DeSoto, Texas",2433,52599,22
"Milford, Connecticut",2399,52536,22
"Perth Amboy, New Jersey",11170,52499,5
"Peabody, Massachusetts",3238,52491,16
"Minnetonka, Minnesota",1945,52369,27
"Palm Desert, California",1948,52231,27
"Placentia, California",7949,52228,7
"Elkhart, Indiana",2227,52221,23
"Joplin, Missouri",1468,52195,36
"Pinellas Park, Florida",3362,52137,16
"La Crosse, Wisconsin",2539,52109,21
"Grapevine, Texas",1628,51971,32
"Apple Valley, Minnesota",3082,51957,17
"Tigard, Oregon",4395,51902,12
"Glendora, California",2674,51851,19
"Florissant, Missouri",4122,51776,13
"Oak Park, Illinois",11016,51774,5
"Hoffman Estates, Illinois",2487,51738,21
"Kentwood, Michigan",2473,51689,21
"Battle Creek, Michigan",1209,51534,43
"Grand Island, Nebraska",1813,51517,28
"Aliso Viejo, California",6884,51424,7
"Edina, Minnesota",3324,51350,15
"Olympia, Washington",2873,51202,18
"Parker, Colorado",2498,51163,20
"Enid, Oklahoma",692,51004,74
"Burien, Washington",6873,50997,7
"Coral Gables, Florida",3933,50815,13
"Logan, Utah",2825,50676,18
"Plainfield, New Jersey",8411,50636,6
"Cerritos, California",5791,50555,9
"Galveston, Texas",1226,50550,41
"Coeur d'Alene, Idaho",3230,50285,16
"Lakewood, Ohio",9092,50279,6
"Poway, California",1281,50077,39
