##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Izard County, Arkansas","13,629"
".Jackson County, Arkansas","16,719"
".Jefferson County, Arkansas","66,824"
".Johnson County, Arkansas","26,578"
".Lafayette County, Arkansas","6,624"
".Lawrence County, Arkansas","16,406"
".Lee County, Arkansas","8,857"
".Lincoln County, Arkansas","13,024"
".Little River County, Arkansas","12,259"
".Logan County, Arkansas","21,466"
".Lonoke County, Arkansas","73,309"
".Madison County, Arkansas","16,576"
".Marion County, Arkansas","16,694"
".Miller County, Arkansas","43,257"
".Mississippi County, Arkansas","40,651"
".Monroe County, Arkansas","6,701"
".Montgomery County, Arkansas","8,986"
".Nevada County, Arkansas","8,252"
".Newton County, Arkansas","7,753"
".Ouachita County, Arkansas","23,382"
".Perry County, Arkansas","10,455"
".Phillips County, Arkansas","17,782"
".Pike County, Arkansas","10,718"
".Poinsett County, Arkansas","23,528"
".Polk County, Arkansas","19,964"
".Pope County, Arkansas","64,072"
".Prairie County, Arkansas","8,062"
".Pulaski County, Arkansas","391,911"
".Randolph County, Arkansas","17,958"
".St. Francis County, Arkansas","24,994"
".Saline County, Arkansas","122,437"
".Scott County, Arkansas","10,281"
".Searcy County, Arkansas","7,881"
".Sebastian County, Arkansas","127,827"
".Sevier County, Arkansas","17,007"
".Sharp County, Arkansas","17,442"
".Stone County, Arkansas","12,506"
".Union County, Arkansas","38,682"
".Van Buren County, Arkansas","16,545"
".Washington County, Arkansas","239,187"
".White County, Arkansas","78,753"
".Woodruff County, Arkansas","6,320"
".Yell County, Arkansas","21,341"
".Alameda County, California","1,671,329"
".Alpine County, California","1,129"
".Amador County, California","39,752"
".Butte County, California","219,186"
".Calaveras County, California","45,905"
".Colusa County, California","21,547"
".Contra Costa County, California","1,153,526"
".Del Norte County, California","27,812"
".El Dorado County, California","192,843"
".Fresno County, California","999,101"
".Glenn County, California","28,393"
".Humboldt County, California","135,558"
".Imperial County, California","181,215"
".Inyo County, California","18,039"
".Kern County, California","900,202"
".Kings County, California","152,940"
".Lake County, California","64,386"
".Lassen County, California","30,573"
".Los Angeles County, California","10,039,107"
".Madera County, California","157,327"
".Marin County, California","258,826"
".Mariposa County, California","17,203"
".Mendocino County, California","86,749"
".Merced County, California","277,680"
".Modoc County, California","8,841"
".Mono County, California","14,444"
".Monterey County, California","434,061"
".Napa County, California","137,744"
".Nevada County, California","99,755"
".Orange County, California","3,175,692"
".Placer County, California","398,329"
".Plumas County, California","18,807"
".Riverside County, California","2,470,546"
".Sacramento County, California","1,552,058"
".San Benito County, California","62,808"
".San Bernardino County, California","2,180,085"
".San Diego County, California","3,338,330"
".San Francisco County, California","881,549"
".San Joaquin County, California","762,148"
".San Luis Obispo County, California","283,111"
".San Mateo County, California","766,573"
".Santa Barbara County, California","446,499"
".Santa Clara County, California","1,927,852"
".Santa Cruz County, California","273,213"
".Shasta County, California","180,080"
".Sierra County, California","3,005"
".Siskiyou County, California","43,539"
