##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Wabash County, Illinois","11,520"
".Warren County, Illinois","16,844"
".Washington County, Illinois","13,887"
".Wayne County, Illinois","16,215"
".White County, Illinois","13,537"
".Whiteside County, Illinois","55,175"
".Will County, Illinois","690,743"
".Williamson County, Illinois","66,597"
".Winnebago County, Illinois","282,572"
".Woodford County, Illinois","38,459"
".Adams County, Indiana","35,777"
".Allen County, Indiana","379,299"
".Bartholomew County, Indiana","83,779"
".Benton County, Indiana","8,748"
".Blackford County, Indiana","11,758"
".Boone County, Indiana","67,843"
".Brown County, Indiana","15,092"
".Carroll County, Indiana","20,257"
".Cass County, Indiana","37,689"
".Clark County, Indiana","118,302"
".Clay County, Indiana","26,225"
".Clinton County, Indiana","32,399"
".Crawford County, Indiana","10,577"
".Daviess County, Indiana","33,351"
".Dearborn County, Indiana","49,458"
".Decatur County, Indiana","26,559"
".DeKalb County, Indiana","43,475"
".Delaware County, Indiana","114,135"
".Dubois County, Indiana","42,736"
".Elkhart County, Indiana","206,341"
".Fayette County, Indiana","23,102"
".Floyd County, Indiana","78,522"
".Fountain County, Indiana","16,346"
".Franklin County, Indiana","22,758"
".Fulton County, Indiana","19,974"
".Gibson County, Indiana","33,659"
".Grant County, Indiana","65,769"
".Greene County, Indiana","31,922"
".Hamilton County, Indiana","338,011"
".Hancock County, Indiana","78,168"
".Harrison County, Indiana","40,515"
".Hendricks County, Indiana","170,311"
".Henry County, Indiana","47,972"
".Howard County, Indiana","82,544"
".Huntington County, Indiana","36,520"
".Jackson County, Indiana","44,231"
".Jasper County, Indiana","33,562"
".Jay County, Indiana","20,436"
".Jefferson County, Indiana","32,308"
".Jennings County, Indiana","27,735"
".Johnson County, Indiana","158,167"
".Knox County, Indiana","36,594"
".Kosciusko County, Indiana","79,456"
".LaGrange County, Indiana","39,614"
".Lake County, Indiana","485,493"
".LaPorte County, Indiana","109,888"
".Lawrence County, Indiana","45,370"
".Madison County, Indiana","129,569"
".Marion County, Indiana","964,582"
".Marshall County, Indiana","46,258"
".Martin County, Indiana","10,255"
".Miami County, Indiana","35,516"
".Monroe County, Indiana","148,431"
".Montgomery County, Indiana","38,338"
".Morgan County, Indiana","70,489"
".Newton County, Indiana","13,984"
".Noble County, Indiana","47,744"
".Ohio County, Indiana","5,875"
".Orange County, Indiana","19,646"
".Owen County, Indiana","20,799"
".Parke County, Indiana","16,937"
".Perry County, Indiana","19,169"
".Pike County, Indiana","12,389"
".Porter County, Indiana","170,389"
".Posey County, Indiana","25,427"
".Pulaski County, Indiana","12,353"
".Putnam County, Indiana","37,576"
".Randolph County, Indiana","24,665"
".Ripley County, Indiana","28,324"
".Rush County, Indiana","16,581"
".St. Joseph County, Indiana","271,826"
".Scott County, Indiana","23,873"
".Shelby County, Indiana","44,729"
".Spencer County, Indiana","20,277"
".Starke County, Indiana","22,995"
".Steuben County, Indiana","34,594"
".Sullivan County, Indiana","20,669"
".Switzerland County, Indiana","10,751"
".Tippecanoe County, Indiana","195,732"
".Tipton County, Indiana","15,148"
".Union County, Indiana","7,054"
".Vanderburgh County, Indiana","181,451"
".Vermillion County, Indiana","15,498"
".Vigo County, Indiana","107,038"
".Wabash County, Indiana","30,996"
".Warren County, Indiana","8,265"
".Warrick County, Indiana","62,998"
".Washington County, Indiana","28,036"
".Wayne County, Indiana","65,884"
".Wells County, Indiana","28,296"
".White County, Indiana","24,102"
".Whitley County, Indiana","33,964"
".Adair County, Iowa","7,152"
".Adams County, Iowa","3,602"
".Allamakee County, Iowa","13,687"
".Appanoose County, Iowa","12,426"
".Audubon County, Iowa","5,496"
".Benton County, Iowa","25,645"
".Black Hawk County, Iowa","131,228"
".Boone County, Iowa","26,234"
".Bremer County, Iowa","25,062"
".Buchanan County, Iowa","21,175"
".Buena Vista County, Iowa","19,620"
".Butler County, Iowa","14,439"
".Calhoun County, Iowa","9,668"
".Carroll County, Iowa","20,165"
".Cass County, Iowa","12,836"
".Cedar County, Iowa","18,627"
".Cerro Gordo County, Iowa","42,450"
".Cherokee County, Iowa","11,235"
".Chickasaw County, Iowa","11,933"
".Clarke County, Iowa","9,395"
".Clay County, Iowa","16,016"
".Clayton County, Iowa","17,549"
".Clinton County, Iowa","46,429"
".Crawford County, Iowa","16,820"
".Dallas County, Iowa","93,453"
".Davis County, Iowa","9,000"
".Decatur County, Iowa","7,870"
".Delaware County, Iowa","17,011"
".Des Moines County, Iowa","38,967"
".Dickinson County, Iowa","17,258"
".Dubuque County, Iowa","97,311"
".Emmet County, Iowa","9,208"
".Fayette County, Iowa","19,650"
".Floyd County, Iowa","15,642"
".Franklin County, Iowa","10,070"
".Fremont County, Iowa","6,960"
".Greene County, Iowa","8,888"
".Grundy County, Iowa","12,232"
".Guthrie County, Iowa","10,689"
".Hamilton County, Iowa","14,773"
".Hancock County, Iowa","10,630"
".Hardin County, Iowa","16,846"
".Harrison County, Iowa","14,049"
".Henry County, Iowa","19,954"
".Howard County, Iowa","9,158"
".Humboldt County, Iowa","9,558"
".Ida County, Iowa","6,860"
".Iowa County, Iowa","16,184"
".Jackson County, Iowa","19,439"
".Jasper County, Iowa","37,185"
".Jefferson County, Iowa","18,295"
".Johnson County, Iowa","151,140"
".Jones County, Iowa","20,681"
".Keokuk County, Iowa","10,246"
".Kossuth County, Iowa","14,813"
".Lee County, Iowa","33,657"
".Linn County, Iowa","226,706"
".Louisa County, Iowa","11,035"
".Lucas County, Iowa","8,600"
".Lyon County, Iowa","11,755"
".Madison County, Iowa","16,338"
".Mahaska County, Iowa","22,095"
".Marion County, Iowa","33,253"
".Marshall County, Iowa","39,369"
".Mills County, Iowa","15,109"
".Mitchell County, Iowa","10,586"
".Monona County, Iowa","8,615"
".Monroe County, Iowa","7,707"
".Montgomery County, Iowa","9,917"
".Muscatine County, Iowa","42,664"
".O'Brien County, Iowa","13,753"
".Osceola County, Iowa","5,958"
".Page County, Iowa","15,107"
".Palo Alto County, Iowa","8,886"
".Plymouth County, Iowa","25,177"
".Pocahontas County, Iowa","6,619"
".Polk County, Iowa","490,161"
".Pottawattamie County, Iowa","93,206"
".Poweshiek County, Iowa","18,504"
".Ringgold County, Iowa","4,894"
".Sac County, Iowa","9,721"
".Scott County, Iowa","172,943"
".Shelby County, Iowa","11,454"
".Sioux County, Iowa","34,855"
".Story County, Iowa","97,117"
".Tama County, Iowa","16,854"
".Taylor County, Iowa","6,121"
".Union County, Iowa","12,241"
".Van Buren County, Iowa","7,044"
".Wapello County, Iowa","34,969"
".Warren County, Iowa","51,466"
".Washington County, Iowa","21,965"
".Wayne County, Iowa","6,441"
".Webster County, Iowa","35,904"
".Winnebago County, Iowa","10,354"
".Winneshiek County, Iowa","19,991"
".Woodbury County, Iowa","103,107"
".Worth County, Iowa","7,381"
".Wright County, Iowa","12,562"
".Allen County, Kansas","12,369"
".Anderson County, Kansas","7,858"
".Atchison County, Kansas","16,073"
".Barber County, Kansas","4,427"
".Barton County, Kansas","25,779"
".Bourbon County, Kansas","14,534"
".Brown County, Kansas","9,564"
".Butler County, Kansas","66,911"
".Chase County, Kansas","2,648"
".Chautauqua County, Kansas","3,250"
".Cherokee County, Kansas","19,939"
".Cheyenne County, Kansas","2,657"
".Clark County, Kansas","1,994"
".Clay County, Kansas","8,002"
".Cloud County, Kansas","8,786"
".Coffey County, Kansas","8,179"
".Comanche County, Kansas","1,700"
".Cowley County, Kansas","34,908"
".Crawford County, Kansas","38,818"
".Decatur County, Kansas","2,827"
".Dickinson County, Kansas","18,466"
".Doniphan County, Kansas","7,600"
".Douglas County, Kansas","122,259"
".Edwards County, Kansas","2,798"
".Elk County, Kansas","2,530"
".Ellis County, Kansas","28,553"
".Ellsworth County, Kansas","6,102"
".Finney County, Kansas","36,467"
".Ford County, Kansas","33,619"
".Franklin County, Kansas","25,544"
".Geary County, Kansas","31,670"
".Gove County, Kansas","2,636"
".Graham County, Kansas","2,482"
".Grant County, Kansas","7,150"
".Gray County, Kansas","5,988"
".Greeley County, Kansas","1,232"
".Greenwood County, Kansas","5,982"
".Hamilton County, Kansas","2,539"
".Harper County, Kansas","5,436"
".Harvey County, Kansas","34,429"
".Haskell County, Kansas","3,968"
".Hodgeman County, Kansas","1,794"
".Jackson County, Kansas","13,171"
".Jefferson County, Kansas","19,043"
".Jewell County, Kansas","2,879"
".Johnson County, Kansas","602,401"
".Kearny County, Kansas","3,838"
".Kingman County, Kansas","7,152"
".Kiowa County, Kansas","2,475"
".Labette County, Kansas","19,618"
".Lane County, Kansas","1,535"
".Leavenworth County, Kansas","81,758"
".Lincoln County, Kansas","2,962"
".Linn County, Kansas","9,703"
".Logan County, Kansas","2,794"
".Lyon County, Kansas","33,195"
".McPherson County, Kansas","28,542"
".Marion County, Kansas","11,884"
".Marshall County, Kansas","9,707"
".Meade County, Kansas","4,033"
".Miami County, Kansas","34,237"
".Mitchell County, Kansas","5,979"
".Montgomery County, Kansas","31,829"
".Morris County, Kansas","5,620"
".Morton County, Kansas","2,587"
".Nemaha County, Kansas","10,231"
".Neosho County, Kansas","16,007"
".Ness County, Kansas","2,750"
".Norton County, Kansas","5,361"
".Osage County, Kansas","15,949"
".Osborne County, Kansas","3,421"
".Ottawa County, Kansas","5,704"
".Pawnee County, Kansas","6,414"
".Phillips County, Kansas","5,234"
".Pottawatomie County, Kansas","24,383"
".Pratt County, Kansas","9,164"
".Rawlins County, Kansas","2,530"
".Reno County, Kansas","61,998"
".Republic County, Kansas","4,636"
".Rice County, Kansas","9,537"
".Riley County, Kansas","74,232"
".Rooks County, Kansas","4,920"
".Rush County, Kansas","3,036"
".Russell County, Kansas","6,856"
".Saline County, Kansas","54,224"
".Scott County, Kansas","4,823"
".Sedgwick County, Kansas","516,042"
".Seward County, Kansas","21,428"
".Shawnee County, Kansas","176,875"
".Sheridan County, Kansas","2,521"
".Sherman County, Kansas","5,917"
".Smith County, Kansas","3,583"
".Stafford County, Kansas","4,156"
".Stanton County, Kansas","2,006"
".Stevens County, Kansas","5,485"
".Sumner County, Kansas","22,836"
".Thomas County, Kansas","7,777"
".Trego County, Kansas","2,803"
".Wabaunsee County, Kansas","6,931"
".Wallace County, Kansas","1,518"
".Washington County, Kansas","5,406"
".Wichita County, Kansas","2,119"
".Wilson County, Kansas","8,525"
".Woodson County, Kansas","3,138"
".Wyandotte County, Kansas","165,429"
".Adair County, Kentucky","19,202"
".Allen County, Kentucky","21,315"
".Anderson County, Kentucky","22,747"
".Ballard County, Kentucky","7,888"
".Barren County, Kentucky","44,249"
".Bath County, Kentucky","12,500"
".Bell County, Kentucky","26,032"
".Boone County, Kentucky","133,581"
".Bourbon County, Kentucky","19,788"
".Boyd County, Kentucky","46,718"
".Boyle County, Kentucky","30,060"
".Bracken County, Kentucky","8,303"
".Breathitt County, Kentucky","12,630"
".Breckinridge County, Kentucky","20,477"
".Bullitt County, Kentucky","81,676"
".Butler County, Kentucky","12,879"
".Caldwell County, Kentucky","12,747"
".Calloway County, Kentucky","39,001"
".Campbell County, Kentucky","93,584"
".Carlisle County, Kentucky","4,760"
".Carroll County, Kentucky","10,631"
".Carter County, Kentucky","26,797"
".Casey County, Kentucky","16,159"
".Christian County, Kentucky","70,461"
".Clark County, Kentucky","36,263"
".Clay County, Kentucky","19,901"
".Clinton County, Kentucky","10,218"
".Crittenden County, Kentucky","8,806"
".Cumberland County, Kentucky","6,614"
".Daviess County, Kentucky","101,511"
".Edmonson County, Kentucky","12,150"
".Elliott County, Kentucky","7,517"
".Estill County, Kentucky","14,106"
".Fayette County, Kentucky","323,152"
".Fleming County, Kentucky","14,581"
".Floyd County, Kentucky","35,589"
".Franklin County, Kentucky","50,991"
".Fulton County, Kentucky","5,969"
".Gallatin County, Kentucky","8,869"
".Garrard County, Kentucky","17,666"
".Grant County, Kentucky","25,069"
".Graves County, Kentucky","37,266"
".Grayson County, Kentucky","26,427"
".Green County, Kentucky","10,941"
".Greenup County, Kentucky","35,098"
".Hancock County, Kentucky","8,722"
".Hardin County, Kentucky","110,958"
".Harlan County, Kentucky","26,010"
".Harrison County, Kentucky","18,886"
".Hart County, Kentucky","19,035"
".Henderson County, Kentucky","45,210"
".Henry County, Kentucky","16,126"
".Hickman County, Kentucky","4,380"
".Hopkins County, Kentucky","44,686"
".Jackson County, Kentucky","13,329"
".Jefferson County, Kentucky","766,757"
".Jessamine County, Kentucky","54,115"
".Johnson County, Kentucky","22,188"
".Kenton County, Kentucky","166,998"
".Knott County, Kentucky","14,806"
".Knox County, Kentucky","31,145"
".Larue County, Kentucky","14,398"
".Laurel County, Kentucky","60,813"
".Lawrence County, Kentucky","15,317"
".Lee County, Kentucky","7,403"
".Leslie County, Kentucky","9,877"
".Letcher County, Kentucky","21,553"
".Lewis County, Kentucky","13,275"
".Lincoln County, Kentucky","24,549"
".Livingston County, Kentucky","9,194"
".Logan County, Kentucky","27,102"
".Lyon County, Kentucky","8,210"
".McCracken County, Kentucky","65,418"
".McCreary County, Kentucky","17,231"
".McLean County, Kentucky","9,207"
".Madison County, Kentucky","92,987"
".Magoffin County, Kentucky","12,161"
".Marion County, Kentucky","19,273"
".Marshall County, Kentucky","31,100"
".Martin County, Kentucky","11,195"
".Mason County, Kentucky","17,070"
".Meade County, Kentucky","28,572"
".Menifee County, Kentucky","6,489"
".Mercer County, Kentucky","21,933"
".Metcalfe County, Kentucky","10,071"
".Monroe County, Kentucky","10,650"
".Montgomery County, Kentucky","28,157"
".Morgan County, Kentucky","13,309"
".Muhlenberg County, Kentucky","30,622"
".Nelson County, Kentucky","46,233"
".Nicholas County, Kentucky","7,269"
".Ohio County, Kentucky","23,994"
".Oldham County, Kentucky","66,799"
".Owen County, Kentucky","10,901"
".Owsley County, Kentucky","4,415"
".Pendleton County, Kentucky","14,590"
".Perry County, Kentucky","25,758"
".Pike County, Kentucky","57,876"
".Powell County, Kentucky","12,359"
".Pulaski County, Kentucky","64,979"
".Robertson County, Kentucky","2,108"
".Rockcastle County, Kentucky","16,695"
".Rowan County, Kentucky","24,460"
".Russell County, Kentucky","17,923"
".Scott County, Kentucky","57,004"
".Shelby County, Kentucky","49,024"
".Simpson County, Kentucky","18,572"
".Spencer County, Kentucky","19,351"
".Taylor County, Kentucky","25,769"
".Todd County, Kentucky","12,294"
".Trigg County, Kentucky","14,651"
".Trimble County, Kentucky","8,471"
".Union County, Kentucky","14,381"
".Warren County, Kentucky","132,896"
".Washington County, Kentucky","12,095"
".Wayne County, Kentucky","20,333"
".Webster County, Kentucky","12,942"
".Whitley County, Kentucky","36,264"
".Wolfe County, Kentucky","7,157"
".Woodford County, Kentucky","26,734"
".Acadia Parish, Louisiana","62,045"
".Allen Parish, Louisiana","25,627"
".Ascension Parish, Louisiana","126,604"
".Assumption Parish, Louisiana","21,891"
".Avoyelles Parish, Louisiana","40,144"
".Beauregard Parish, Louisiana","37,497"
".Bienville Parish, Louisiana","13,241"
".Bossier Parish, Louisiana","127,039"
".Caddo Parish, Louisiana","240,204"
".Calcasieu Parish, Louisiana","203,436"
".Caldwell Parish, Louisiana","9,918"
".Cameron Parish, Louisiana","6,973"
".Catahoula Parish, Louisiana","9,494"
".Claiborne Parish, Louisiana","15,670"
".Concordia Parish, Louisiana","19,259"
".De Soto Parish, Louisiana","27,463"
".East Baton Rouge Parish, Louisiana","440,059"
".East Carroll Parish, Louisiana","6,861"
".East Feliciana Parish, Louisiana","19,135"
".Evangeline Parish, Louisiana","33,395"
".Franklin Parish, Louisiana","20,015"
".Grant Parish, Louisiana","22,389"
".Iberia Parish, Louisiana","69,830"
".Iberville Parish, Louisiana","32,511"
".Jackson Parish, Louisiana","15,744"
".Jefferson Parish, Louisiana","432,493"
".Jefferson Davis Parish, Louisiana","31,368"
".Lafayette Parish, Louisiana","244,390"
".Lafourche Parish, Louisiana","97,614"
".LaSalle Parish, Louisiana","14,892"
".Lincoln Parish, Louisiana","46,742"
".Livingston Parish, Louisiana","140,789"
".Madison Parish, Louisiana","10,951"
".Morehouse Parish, Louisiana","24,874"
".Natchitoches Parish, Louisiana","38,158"
".Orleans Parish, Louisiana","390,144"
".Ouachita Parish, Louisiana","153,279"
".Plaquemines Parish, Louisiana","23,197"
".Pointe Coupee Parish, Louisiana","21,730"
".Rapides Parish, Louisiana","129,648"
".Red River Parish, Louisiana","8,442"
".Richland Parish, Louisiana","20,122"
".Sabine Parish, Louisiana","23,884"
".St. Bernard Parish, Louisiana","47,244"
".St. Charles Parish, Louisiana","53,100"
".St. Helena Parish, Louisiana","10,132"
".St. James Parish, Louisiana","21,096"
".St. John the Baptist Parish, Louisiana","42,837"
".St. Landry Parish, Louisiana","82,124"
".St. Martin Parish, Louisiana","53,431"
".St. Mary Parish, Louisiana","49,348"
".St. Tammany Parish, Louisiana","260,419"
".Tangipahoa Parish, Louisiana","134,758"
".Tensas Parish, Louisiana","4,334"
".Terrebonne Parish, Louisiana","110,461"
".Union Parish, Louisiana","22,108"
".Vermilion Parish, Louisiana","59,511"
".Vernon Parish, Louisiana","47,429"
".Washington Parish, Louisiana","46,194"
".Webster Parish, Louisiana","38,340"
".West Baton Rouge Parish, Louisiana","26,465"
".West Carroll Parish, Louisiana","10,830"
".West Feliciana Parish, Louisiana","15,568"
".Winn Parish, Louisiana","13,904"
".Androscoggin County, Maine","108,277"
".Aroostook County, Maine","67,055"
".Cumberland County, Maine","295,003"
".Franklin County, Maine","30,199"
".Hancock County, Maine","54,987"
".Kennebec County, Maine","122,302"
".Knox County, Maine","39,772"
".Lincoln County, Maine","34,634"
".Oxford County, Maine","57,975"
".Penobscot County, Maine","152,148"
".Piscataquis County, Maine","16,785"
".Sagadahoc County, Maine","35,856"
".Somerset County, Maine","50,484"
".Waldo County, Maine","39,715"
".Washington County, Maine","31,379"
".York County, Maine","207,641"
".Allegany County, Maryland","70,416"
".Anne Arundel County, Maryland","579,234"
".Baltimore County, Maryland","827,370"
".Calvert County, Maryland","92,525"
".Caroline County, Maryland","33,406"
".Carroll County, Maryland","168,447"
".Cecil County, Maryland","102,855"
".Charles County, Maryland","163,257"
".Dorchester County, Maryland","31,929"
".Frederick County, Maryland","259,547"
".Garrett County, Maryland","29,014"
".Harford County, Maryland","255,441"
".Howard County, Maryland","325,690"
".Kent County, Maryland","19,422"
".Montgomery County, Maryland","1,050,688"
".Prince George's County, Maryland","909,327"
".Queen Anne's County, Maryland","50,381"
".St. Mary's County, Maryland","113,510"
".Somerset County, Maryland","25,616"
".Talbot County, Maryland","37,181"
".Washington County, Maryland","151,049"
".Wicomico County, Maryland","103,609"
".Worcester County, Maryland","52,276"
".Baltimore city, Maryland","593,490"
".Barnstable County, Massachusetts","212,990"
".Berkshire County, Massachusetts","124,944"
".Bristol County, Massachusetts","565,217"
".Dukes County, Massachusetts","17,332"
".Essex County, Massachusetts","789,034"
".Franklin County, Massachusetts","70,180"
".Hampden County, Massachusetts","466,372"
".Hampshire County, Massachusetts","160,830"
".Middlesex County, Massachusetts","1,611,699"
".Nantucket County, Massachusetts","11,399"
".Norfolk County, Massachusetts","706,775"
".Plymouth County, Massachusetts","521,202"
".Suffolk County, Massachusetts","803,907"
".Worcester County, Massachusetts","830,622"
".Alcona County, Michigan","10,405"
".Alger County, Michigan","9,108"
".Allegan County, Michigan","118,081"
".Alpena County, Michigan","28,405"
".Antrim County, Michigan","23,324"
".Arenac County, Michigan","14,883"
".Baraga County, Michigan","8,209"
".Barry County, Michigan","61,550"
".Bay County, Michigan","103,126"
".Benzie County, Michigan","17,766"
".Berrien County, Michigan","153,401"
".Branch County, Michigan","43,517"
".Calhoun County, Michigan","134,159"
".Cass County, Michigan","51,787"
".Charlevoix County, Michigan","26,143"
".Cheboygan County, Michigan","25,276"
".Chippewa County, Michigan","37,349"
".Clare County, Michigan","30,950"
".Clinton County, Michigan","79,595"
".Crawford County, Michigan","14,029"
".Delta County, Michigan","35,784"
".Dickinson County, Michigan","25,239"
".Eaton County, Michigan","110,268"
".Emmet County, Michigan","33,415"
".Genesee County, Michigan","405,813"
".Gladwin County, Michigan","25,449"
".Gogebic County, Michigan","13,975"
".Grand Traverse County, Michigan","93,088"
".Gratiot County, Michigan","40,711"
".Hillsdale County, Michigan","45,605"
".Houghton County, Michigan","35,684"
".Huron County, Michigan","30,981"
".Ingham County, Michigan","292,406"
".Ionia County, Michigan","64,697"
".Iosco County, Michigan","25,127"
".Iron County, Michigan","11,066"
".Isabella County, Michigan","69,872"
".Jackson County, Michigan","158,510"
".Kalamazoo County, Michigan","265,066"
".Kalkaska County, Michigan","18,038"
".Kent County, Michigan","656,955"
".Keweenaw County, Michigan","2,116"
".Lake County, Michigan","11,853"
".Lapeer County, Michigan","87,607"
".Leelanau County, Michigan","21,761"
".Lenawee County, Michigan","98,451"
".Livingston County, Michigan","191,995"
".Luce County, Michigan","6,229"
".Mackinac County, Michigan","10,799"
".Macomb County, Michigan","873,972"
".Manistee County, Michigan","24,558"
".Marquette County, Michigan","66,699"
".Mason County, Michigan","29,144"
".Mecosta County, Michigan","43,453"
".Menominee County, Michigan","22,780"
".Midland County, Michigan","83,156"
".Missaukee County, Michigan","15,118"
".Monroe County, Michigan","150,500"
".Montcalm County, Michigan","63,888"
".Montmorency County, Michigan","9,328"
".Muskegon County, Michigan","173,566"
".Newaygo County, Michigan","48,980"
".Oakland County, Michigan","1,257,584"
".Oceana County, Michigan","26,467"
".Ogemaw County, Michigan","20,997"
".Ontonagon County, Michigan","5,720"
".Osceola County, Michigan","23,460"
".Oscoda County, Michigan","8,241"
".Otsego County, Michigan","24,668"
".Ottawa County, Michigan","291,830"
".Presque Isle County, Michigan","12,592"
".Roscommon County, Michigan","24,019"
".Saginaw County, Michigan","190,539"
".St. Clair County, Michigan","159,128"
".St. Joseph County, Michigan","60,964"
".Sanilac County, Michigan","41,170"
".Schoolcraft County, Michigan","8,094"
".Shiawassee County, Michigan","68,122"
".Tuscola County, Michigan","52,245"
".Van Buren County, Michigan","75,677"
".Washtenaw County, Michigan","367,601"
".Wayne County, Michigan","1,749,343"
".Wexford County, Michigan","33,631"
".Aitkin County, Minnesota","15,886"
".Anoka County, Minnesota","356,921"
".Becker County, Minnesota","34,423"
".Beltrami County, Minnesota","47,188"
".Benton County, Minnesota","40,889"
".Big Stone County, Minnesota","4,991"
".Blue Earth County, Minnesota","67,653"
".Brown County, Minnesota","25,008"
".Carlton County, Minnesota","35,871"
".Carver County, Minnesota","105,089"
".Cass County, Minnesota","29,779"
".Chippewa County, Minnesota","11,800"
".Chisago County, Minnesota","56,579"
".Clay County, Minnesota","64,222"
".Clearwater County, Minnesota","8,818"
".Cook County, Minnesota","5,463"
".Cottonwood County, Minnesota","11,196"
".Crow Wing County, Minnesota","65,055"
".Dakota County, Minnesota","429,021"
".Dodge County, Minnesota","20,934"
".Douglas County, Minnesota","38,141"
".Faribault County, Minnesota","13,653"
".Fillmore County, Minnesota","21,067"
".Freeborn County, Minnesota","30,281"
".Goodhue County, Minnesota","46,340"
".Grant County, Minnesota","5,972"
".Hennepin County, Minnesota","1,265,843"
".Houston County, Minnesota","18,600"
".Hubbard County, Minnesota","21,491"
".Isanti County, Minnesota","40,596"
".Itasca County, Minnesota","45,130"
".Jackson County, Minnesota","9,846"
".Kanabec County, Minnesota","16,337"
".Kandiyohi County, Minnesota","43,199"
".Kittson County, Minnesota","4,298"
".Koochiching County, Minnesota","12,229"
".Lac qui Parle County, Minnesota","6,623"
".Lake County, Minnesota","10,641"
".Lake of the Woods County, Minnesota","3,740"
".Le Sueur County, Minnesota","28,887"
".Lincoln County, Minnesota","5,639"
".Lyon County, Minnesota","25,474"
".McLeod County, Minnesota","35,893"
".Mahnomen County, Minnesota","5,527"
".Marshall County, Minnesota","9,336"
".Martin County, Minnesota","19,683"
".Meeker County, Minnesota","23,222"
".Mille Lacs County, Minnesota","26,277"
".Morrison County, Minnesota","33,386"
".Mower County, Minnesota","40,062"
".Murray County, Minnesota","8,194"
".Nicollet County, Minnesota","34,274"
".Nobles County, Minnesota","21,629"
".Norman County, Minnesota","6,375"
".Olmsted County, Minnesota","158,293"
".Otter Tail County, Minnesota","58,746"
".Pennington County, Minnesota","14,119"
".Pine County, Minnesota","29,579"
".Pipestone County, Minnesota","9,126"
".Polk County, Minnesota","31,364"
".Pope County, Minnesota","11,249"
".Ramsey County, Minnesota","550,321"
".Red Lake County, Minnesota","4,055"
".Redwood County, Minnesota","15,170"
".Renville County, Minnesota","14,548"
".Rice County, Minnesota","66,972"
".Rock County, Minnesota","9,315"
".Roseau County, Minnesota","15,165"
".St. Louis County, Minnesota","199,070"
".Scott County, Minnesota","149,013"
".Sherburne County, Minnesota","97,238"
".Sibley County, Minnesota","14,865"
".Stearns County, Minnesota","161,075"
".Steele County, Minnesota","36,649"
".Stevens County, Minnesota","9,805"
".Swift County, Minnesota","9,266"
".Todd County, Minnesota","24,664"
".Traverse County, Minnesota","3,259"
".Wabasha County, Minnesota","21,627"
".Wadena County, Minnesota","13,682"
".Waseca County, Minnesota","18,612"
".Washington County, Minnesota","262,440"
".Watonwan County, Minnesota","10,897"
".Wilkin County, Minnesota","6,207"
".Winona County, Minnesota","50,484"
".Wright County, Minnesota","138,377"
".Yellow Medicine County, Minnesota","9,709"
".Adams County, Mississippi","30,693"
".Alcorn County, Mississippi","36,953"
".Amite County, Mississippi","12,297"
".Attala County, Mississippi","18,174"
".Benton County, Mississippi","8,259"
".Bolivar County, Mississippi","30,628"
".Calhoun County, Mississippi","14,361"
".Carroll County, Mississippi","9,947"
".Chickasaw County, Mississippi","17,103"
".Choctaw County, Mississippi","8,210"
".Claiborne County, Mississippi","8,988"
".Clarke County, Mississippi","15,541"
".Clay County, Mississippi","19,316"
".Coahoma County, Mississippi","22,124"
".Copiah County, Mississippi","28,065"
".Covington County, Mississippi","18,636"
".DeSoto County, Mississippi","184,945"
".Forrest County, Mississippi","74,897"
".Franklin County, Mississippi","7,713"
".George County, Mississippi","24,500"
".Greene County, Mississippi","13,586"
".Grenada County, Mississippi","20,758"
".Hancock County, Mississippi","47,632"
".Harrison County, Mississippi","208,080"
".Hinds County, Mississippi","231,840"
".Holmes County, Mississippi","17,010"
".Humphreys County, Mississippi","8,064"
".Issaquena County, Mississippi","1,327"
".Itawamba County, Mississippi","23,390"
".Jackson County, Mississippi","143,617"
".Jasper County, Mississippi","16,383"
".Jefferson County, Mississippi","6,990"
".Jefferson Davis County, Mississippi","11,128"
".Jones County, Mississippi","68,098"
".Kemper County, Mississippi","9,742"
".Lafayette County, Mississippi","54,019"
".Lamar County, Mississippi","63,343"
".Lauderdale County, Mississippi","74,125"
".Lawrence County, Mississippi","12,586"
".Leake County, Mississippi","22,786"
".Lee County, Mississippi","85,436"
