date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-02-11,USA-06,California,0,0.14,0,0,0,0
2020-02-11,USA-04,Arizona,0,0,0,0,0,0
2020-02-12,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-12,USA-53,Washington,0,0,0,0,0,0
2020-02-12,USA-48,Texas,1,0.14,0,0,0,0
2020-02-12,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-12,USA-17,Illinois,0,0,0,0,0,0
2020-02-12,USA-06,California,0,0.14,0,0,0,0
2020-02-12,USA-04,Arizona,0,0,0,0,0,0
2020-02-13,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-13,USA-53,Washington,0,0,0,0,0,0
2020-02-13,USA-48,Texas,1,0.29,0,0,0,0
2020-02-13,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-13,USA-17,Illinois,0,0,0,0,0,0
2020-02-13,USA-06,California,0,0.14,0,0,0,0
2020-02-13,USA-04,Arizona,0,0,0,0,0,0
2020-02-14,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-14,USA-53,Washington,0,0,0,0,0,0
2020-02-14,USA-48,Texas,0,0.29,0,0,0,0
2020-02-14,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-14,USA-17,Illinois,0,0,0,0,0,0
2020-02-14,USA-06,California,0,0.14,0,0,0,0
2020-02-14,USA-04,Arizona,0,0,0,0,0,0
2020-02-15,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-15,USA-53,Washington,0,0,0,0,0,0
2020-02-15,USA-48,Texas,0,0.29,0,0,0,0
2020-02-15,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-15,USA-17,Illinois,0,0,0,0,0,0
2020-02-15,USA-06,California,0,0.14,0,0,0,0
2020-02-15,USA-04,Arizona,0,0,0,0,0,0
2020-02-16,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-16,USA-53,Washington,0,0,0,0,0,0
2020-02-16,USA-48,Texas,0,0.29,0,0,0,0
2020-02-16,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-16,USA-17,Illinois,0,0,0,0,0,0
2020-02-16,USA-06,California,0,0.14,0,0,0,0
2020-02-16,USA-04,Arizona,0,0,0,0,0,0
2020-02-17,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-17,USA-53,Washington,0,0,0,0,0,0
2020-02-17,USA-48,Texas,0,0.29,0,0,0,0
2020-02-17,USA-31,Nebraska,10,1.43,0.07,0,0,0
2020-02-17,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-17,USA-17,Illinois,0,0,0,0,0,0
2020-02-17,USA-06,California,0,0,0,0,0,0
2020-02-17,USA-04,Arizona,0,0,0,0,0,0
